Country,Measure Names,month_year,Latitude (generated),Longitude (generated),Value
Argentina,No Measure Value,2000-12,-33.166,-64.31,686.741142
Algeria,No Measure Value,2000-12,28.6045,2.64,820
United States,No Measure Value,2001-01,40.0792,-98.8164,5799
United Kingdom,No Measure Value,2001-01,52.289,-1.259,2309.109887
Sudan,No Measure Value,2001-01,15.739,29.533,200
Saudi Arabia,No Measure Value,2001-01,24.191,44.32,8000
Papua New Guinea,No Measure Value,2001-01,-5.636,142.798,60
Oman,No Measure Value,2001-01,19.85,56.25,954
Norway,No Measure Value,2001-01,61.3701,9.3031,3241
Nigeria,No Measure Value,2001-01,9.3417,7.678,2305
Mexico,No Measure Value,2001-01,22.925,-101.68,3087.29895
Kuwait,No Measure Value,2001-01,29.3169,47.4272,1840
Kazakhstan,No Measure Value,2001-01,48.866,69.772,775.18
Iraq,No Measure Value,2001-01,33.545,43.278,1645.829493
Iran,No Measure Value,2001-01,33.408,54.0418,3750
Indonesia,No Measure Value,2001-01,-0.739,114.045,1171
Egypt,No Measure Value,2001-01,26.16,28.742,701.832258
Colombia,No Measure Value,2001-01,3.794,-73.606,713.938
Brazil,No Measure Value,2001-01,-11.694,-48.978,1318.507452
Argentina,No Measure Value,2001-01,-33.166,-64.31,759.055387
Algeria,No Measure Value,2001-01,28.6045,2.64,820
United States,No Measure Value,2001-02,40.0792,-98.8164,5780
United Kingdom,No Measure Value,2001-02,52.289,-1.259,2226.555471
Sudan,No Measure Value,2001-02,15.739,29.533,200
Saudi Arabia,No Measure Value,2001-02,24.191,44.32,8000
Papua New Guinea,No Measure Value,2001-02,-5.636,142.798,60
Oman,No Measure Value,2001-02,19.85,56.25,954
Norway,No Measure Value,2001-02,61.3701,9.3031,3087
Nigeria,No Measure Value,2001-02,9.3417,7.678,2293
Mexico,No Measure Value,2001-02,22.925,-101.68,3136.448792
Kuwait,No Measure Value,2001-02,29.3169,47.4272,1750
Kazakhstan,No Measure Value,2001-02,48.866,69.772,804.6
Iraq,No Measure Value,2001-02,33.545,43.278,2095.591071
Iran,No Measure Value,2001-02,33.408,54.0418,3709
Indonesia,No Measure Value,2001-02,-0.739,114.045,1171
Egypt,No Measure Value,2001-02,26.16,28.742,693.494
Colombia,No Measure Value,2001-02,3.794,-73.606,644.068
Brazil,No Measure Value,2001-02,-11.694,-48.978,1341.355893
Argentina,No Measure Value,2001-02,-33.166,-64.31,710.956473
Algeria,No Measure Value,2001-02,28.6045,2.64,805
United States,No Measure Value,2001-03,40.0792,-98.8164,5880
United Kingdom,No Measure Value,2001-03,52.289,-1.259,2287.115836
Sudan,No Measure Value,2001-03,15.739,29.533,200
Saudi Arabia,No Measure Value,2001-03,24.191,44.32,8230
Papua New Guinea,No Measure Value,2001-03,-5.636,142.798,60
Oman,No Measure Value,2001-03,19.85,56.25,969
Norway,No Measure Value,2001-03,61.3701,9.3031,3099
Nigeria,No Measure Value,2001-03,9.3417,7.678,2362
Mexico,No Measure Value,2001-03,22.925,-101.68,3150.720001
Kuwait,No Measure Value,2001-03,29.3169,47.4272,1725
Kazakhstan,No Measure Value,2001-03,48.866,69.772,802.75
Iraq,No Measure Value,2001-03,33.545,43.278,2595.52
Iran,No Measure Value,2001-03,33.408,54.0418,3800
Indonesia,No Measure Value,2001-03,-0.739,114.045,1196
Egypt,No Measure Value,2001-03,26.16,28.742,688.587097
Colombia,No Measure Value,2001-03,3.794,-73.606,609.257
Brazil,No Measure Value,2001-03,-11.694,-48.978,1260.238516
Argentina,No Measure Value,2001-03,-33.166,-64.31,754.316296
Algeria,No Measure Value,2001-03,28.6045,2.64,800
United States,No Measure Value,2001-04,40.0792,-98.8164,5863
United Kingdom,No Measure Value,2001-04,52.289,-1.259,2288.706418
Sudan,No Measure Value,2001-04,15.739,29.533,200
Saudi Arabia,No Measure Value,2001-04,24.191,44.32,7785
Papua New Guinea,No Measure Value,2001-04,-5.636,142.798,60
Oman,No Measure Value,2001-04,19.85,56.25,945
Norway,No Measure Value,2001-04,61.3701,9.3031,3220
Nigeria,No Measure Value,2001-04,9.3417,7.678,2245
Mexico,No Measure Value,2001-04,22.925,-101.68,3007.87326
Kuwait,No Measure Value,2001-04,29.3169,47.4272,1690
Kazakhstan,No Measure Value,2001-04,48.866,69.772,805.04
Iraq,No Measure Value,2001-04,33.545,43.278,2831.438867
Iran,No Measure Value,2001-04,33.408,54.0418,3650
Indonesia,No Measure Value,2001-04,-0.739,114.045,1206
Egypt,No Measure Value,2001-04,26.16,28.742,691
Colombia,No Measure Value,2001-04,3.794,-73.606,589.961
Brazil,No Measure Value,2001-04,-11.694,-48.978,1269.034167
Argentina,No Measure Value,2001-04,-33.166,-64.31,760.7947
Algeria,No Measure Value,2001-04,28.6045,2.64,805
United States,No Measure Value,2001-05,40.0792,-98.8164,5829
United Kingdom,No Measure Value,2001-05,52.289,-1.259,2234.488437
Sudan,No Measure Value,2001-05,15.739,29.533,205
Saudi Arabia,No Measure Value,2001-05,24.191,44.32,7720
Papua New Guinea,No Measure Value,2001-05,-5.636,142.798,60
Oman,No Measure Value,2001-05,19.85,56.25,972
Norway,No Measure Value,2001-05,61.3701,9.3031,2929
Nigeria,No Measure Value,2001-05,9.3417,7.678,2245
Mexico,No Measure Value,2001-05,22.925,-101.68,3031.417755
Kuwait,No Measure Value,2001-05,29.3169,47.4272,1675
Kazakhstan,No Measure Value,2001-05,48.866,69.772,806.51
Iraq,No Measure Value,2001-05,33.545,43.278,2869.390323
Iran,No Measure Value,2001-05,33.408,54.0418,3640
Indonesia,No Measure Value,2001-05,-0.739,114.045,1206
Egypt,No Measure Value,2001-05,26.16,28.742,631.835484
Colombia,No Measure Value,2001-05,3.794,-73.606,587.692
Brazil,No Measure Value,2001-05,-11.694,-48.978,1201.257742
Argentina,No Measure Value,2001-05,-33.166,-64.31,785.391288
Algeria,No Measure Value,2001-05,28.6045,2.64,810
United States,No Measure Value,2001-06,40.0792,-98.8164,5766
United Kingdom,No Measure Value,2001-06,52.289,-1.259,2091.747781
Sudan,No Measure Value,2001-06,15.739,29.533,205
Saudi Arabia,No Measure Value,2001-06,24.191,44.32,7874.4
Papua New Guinea,No Measure Value,2001-06,-5.636,142.798,60
Oman,No Measure Value,2001-06,19.85,56.25,961
Norway,No Measure Value,2001-06,61.3701,9.3031,2921
Nigeria,No Measure Value,2001-06,9.3417,7.678,2340
Mexico,No Measure Value,2001-06,22.925,-101.68,3139.565521
Kuwait,No Measure Value,2001-06,29.3169,47.4272,1700
Kazakhstan,No Measure Value,2001-06,48.866,69.772,798.33
Iraq,No Measure Value,2001-06,33.545,43.278,997.738333
Iran,No Measure Value,2001-06,33.408,54.0418,3562
Indonesia,No Measure Value,2001-06,-0.739,114.045,1226
Egypt,No Measure Value,2001-06,26.16,28.742,655.906667
Colombia,No Measure Value,2001-06,3.794,-73.606,591.781
Brazil,No Measure Value,2001-06,-11.694,-48.978,1294.331567
Argentina,No Measure Value,2001-06,-33.166,-64.31,770.957712
Algeria,No Measure Value,2001-06,28.6045,2.64,820
United States,No Measure Value,2001-07,40.0792,-98.8164,5749
United Kingdom,No Measure Value,2001-07,52.289,-1.259,2175.388436
Sudan,No Measure Value,2001-07,15.739,29.533,205
Saudi Arabia,No Measure Value,2001-07,24.191,44.32,7928
Papua New Guinea,No Measure Value,2001-07,-5.636,142.798,60
Oman,No Measure Value,2001-07,19.85,56.25,962
Norway,No Measure Value,2001-07,61.3701,9.3031,3243
Nigeria,No Measure Value,2001-07,9.3417,7.678,2245
Mexico,No Measure Value,2001-07,22.925,-101.68,3184.878113
Kuwait,No Measure Value,2001-07,29.3169,47.4272,1703
Kazakhstan,No Measure Value,2001-07,48.866,69.772,819.11
Iraq,No Measure Value,2001-07,33.545,43.278,2129.596774
Iran,No Measure Value,2001-07,33.408,54.0418,3673
Indonesia,No Measure Value,2001-07,-0.739,114.045,1220.501
Egypt,No Measure Value,2001-07,26.16,28.742,666.983871
Colombia,No Measure Value,2001-07,3.794,-73.606,627.207
Brazil,No Measure Value,2001-07,-11.694,-48.978,1304.24771
Argentina,No Measure Value,2001-07,-33.166,-64.31,769.5398
Algeria,No Measure Value,2001-07,28.6045,2.64,833
United States,No Measure Value,2001-08,40.0792,-98.8164,5725
United Kingdom,No Measure Value,2001-08,52.289,-1.259,2169.064325
Sudan,No Measure Value,2001-08,15.739,29.533,205
Saudi Arabia,No Measure Value,2001-08,24.191,44.32,7750
Papua New Guinea,No Measure Value,2001-08,-5.636,142.798,60
Oman,No Measure Value,2001-08,19.85,56.25,946
Norway,No Measure Value,2001-08,61.3701,9.3031,2907
Nigeria,No Measure Value,2001-08,9.3417,7.678,2282
Mexico,No Measure Value,2001-08,22.925,-101.68,3174.920898
Kuwait,No Measure Value,2001-08,29.3169,47.4272,1695
Kazakhstan,No Measure Value,2001-08,48.866,69.772,775.95
Iraq,No Measure Value,2001-08,33.545,43.278,2731.93871
Iran,No Measure Value,2001-08,33.408,54.0418,3710
Indonesia,No Measure Value,2001-08,-0.739,114.045,1216
