Country,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Vietnam,2023,April,Billion Cubic Meter,0.5832
Thailand,2023,April,Billion Cubic Meter,3.99097
Taiwan,2023,April,Billion Cubic Meter,2.121
South Korea,2023,April,Billion Cubic Meter,4.315185616
Singapore,2023,April,Billion Cubic Meter,1.16824
Philippines,2023,April,Billion Cubic Meter,0.238
Pakistan,2023,April,Billion Cubic Meter,3.290612238
New Zealand,2023,April,Billion Cubic Meter,0.327169052
Malaysia,2023,April,Billion Cubic Meter,3.010031698
Japan,2023,April,Billion Cubic Meter,6.58243244
Indonesia,2023,April,Billion Cubic Meter,2.807
India,2023,April,Billion Cubic Meter,5.185118522
China,2023,April,Billion Cubic Meter,31.101120066
Bangladesh,2023,April,Billion Cubic Meter,2.268111989
Australia,2023,April,Billion Cubic Meter,2.43194911
Vietnam,2023,May,Billion Cubic Meter,0.5616
Thailand,2023,May,Billion Cubic Meter,4.36717
Taiwan,2023,May,Billion Cubic Meter,2.226
South Korea,2023,May,Billion Cubic Meter,4.0935694
Singapore,2023,May,Billion Cubic Meter,1.1628
Philippines,2023,May,Billion Cubic Meter,0.26
Pakistan,2023,May,Billion Cubic Meter,3.88517722
New Zealand,2023,May,Billion Cubic Meter,0.322688073
Malaysia,2023,May,Billion Cubic Meter,3.121850824
Japan,2023,May,Billion Cubic Meter,6.282326341
Indonesia,2023,May,Billion Cubic Meter,3.133
India,2023,May,Billion Cubic Meter,5.6920191
China,2023,May,Billion Cubic Meter,33.359146091
Bangladesh,2023,May,Billion Cubic Meter,2.3751058
Australia,2023,May,Billion Cubic Meter,2.860493691
Vietnam,2023,June,Billion Cubic Meter,0.5472
Thailand,2023,June,Billion Cubic Meter,4.06319
Taiwan,2023,June,Billion Cubic Meter,2.189
South Korea,2023,June,Billion Cubic Meter,3.914896
Singapore,2023,June,Billion Cubic Meter,1.26208
Philippines,2023,June,Billion Cubic Meter,0.273
Pakistan,2023,June,Billion Cubic Meter,3.388773637
New Zealand,2023,June,Billion Cubic Meter,0.301591024
Malaysia,2023,June,Billion Cubic Meter,3.323736545
Japan,2023,June,Billion Cubic Meter,7.040118279
Indonesia,2023,June,Billion Cubic Meter,3.254
India,2023,June,Billion Cubic Meter,5.223532947
China,2023,June,Billion Cubic Meter,32.25948208
Bangladesh,2023,June,Billion Cubic Meter,2.43476503
Australia,2023,June,Billion Cubic Meter,3.018180157
Vietnam,2023,July,Billion Cubic Meter,0.54
Thailand,2023,July,Billion Cubic Meter,4.15122
Taiwan,2023,July,Billion Cubic Meter,2.37
South Korea,2023,July,Billion Cubic Meter,4.307256
Singapore,2023,July,Billion Cubic Meter,1.1016
Philippines,2023,July,Billion Cubic Meter,0.294
Pakistan,2023,July,Billion Cubic Meter,3.691654991
New Zealand,2023,July,Billion Cubic Meter,0.318068968
Malaysia,2023,July,Billion Cubic Meter,3.581683766
Japan,2023,July,Billion Cubic Meter,7.81879308
Indonesia,2023,July,Billion Cubic Meter,3.129
India,2023,July,Billion Cubic Meter,5.418027538
China,2023,July,Billion Cubic Meter,32.368536853
Bangladesh,2023,July,Billion Cubic Meter,2.412108049
Australia,2023,July,Billion Cubic Meter,3.125163665
Vietnam,2023,August,Billion Cubic Meter,0.5544
Thailand,2023,August,Billion Cubic Meter,4.0371
Taiwan,2023,August,Billion Cubic Meter,2.375
South Korea,2023,August,Billion Cubic Meter,4.338201304
Singapore,2023,August,Billion Cubic Meter,1.24304
Philippines,2023,August,Billion Cubic Meter,0.292
Pakistan,2023,August,Billion Cubic Meter,3.607172605
New Zealand,2023,August,Billion Cubic Meter,0.327143153
Malaysia,2023,August,Billion Cubic Meter,2.719518636
Japan,2023,August,Billion Cubic Meter,8.4580796
Indonesia,2023,August,Billion Cubic Meter,3.264
India,2023,August,Billion Cubic Meter,5.840909351
China,2023,August,Billion Cubic Meter,32.764144598
Bangladesh,2023,August,Billion Cubic Meter,2.34800289
Australia,2023,August,Billion Cubic Meter,2.942777513
Vietnam,2023,September,Billion Cubic Meter,0.5976
Thailand,2023,September,Billion Cubic Meter,3.70299
Taiwan,2023,September,Billion Cubic Meter,2.229
South Korea,2023,September,Billion Cubic Meter,4.03784
Singapore,2023,September,Billion Cubic Meter,1.17912
Philippines,2023,September,Billion Cubic Meter,0.284
Pakistan,2023,September,Billion Cubic Meter,2.85813193
New Zealand,2023,September,Billion Cubic Meter,0.310112877
Malaysia,2023,September,Billion Cubic Meter,3.111632581
Japan,2023,September,Billion Cubic Meter,7.861731444
Indonesia,2023,September,Billion Cubic Meter,3.236
India,2023,September,Billion Cubic Meter,5.560000498
China,2023,September,Billion Cubic Meter,31.575022497
Bangladesh,2023,September,Billion Cubic Meter,2.325464771
Australia,2023,September,Billion Cubic Meter,2.656099398
Vietnam,2023,October,Billion Cubic Meter,0.6192
