Country,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Bangladesh,2022,February,Billion Cubic Meter,2.049103949
Australia,2022,February,Billion Cubic Meter,2.12785089
Vietnam,2022,March,Billion Cubic Meter,0.6474
Thailand,2022,March,Billion Cubic Meter,4.17843
Taiwan,2022,March,Billion Cubic Meter,2.351
South Korea,2022,March,Billion Cubic Meter,6.268104
Singapore,2022,March,Billion Cubic Meter,1.04856
Philippines,2022,March,Billion Cubic Meter,0.306
Pakistan,2022,March,Billion Cubic Meter,2.874011134
New Zealand,2022,March,Billion Cubic Meter,0.339276872
Malaysia,2022,March,Billion Cubic Meter,2.878484755
Japan,2022,March,Billion Cubic Meter,8.903114601
Indonesia,2022,March,Billion Cubic Meter,2.868
India,2022,March,Billion Cubic Meter,5.450087511
China,2022,March,Billion Cubic Meter,30.483432639
Bangladesh,2022,March,Billion Cubic Meter,2.512533429
Australia,2022,March,Billion Cubic Meter,2.364731335
Vietnam,2022,April,Billion Cubic Meter,0.6318
Thailand,2022,April,Billion Cubic Meter,3.6758
Taiwan,2022,April,Billion Cubic Meter,2.075
South Korea,2022,April,Billion Cubic Meter,4.607136
Singapore,2022,April,Billion Cubic Meter,1.521839999
Philippines,2022,April,Billion Cubic Meter,0.269
Pakistan,2022,April,Billion Cubic Meter,3.685185143
New Zealand,2022,April,Billion Cubic Meter,0.326139818
Malaysia,2022,April,Billion Cubic Meter,3.232840323
Japan,2022,April,Billion Cubic Meter,7.3557194
Indonesia,2022,April,Billion Cubic Meter,2.911
India,2022,April,Billion Cubic Meter,4.825956731
China,2022,April,Billion Cubic Meter,28.663311786
Bangladesh,2022,April,Billion Cubic Meter,2.351945079
Australia,2022,April,Billion Cubic Meter,2.389299974
Vietnam,2022,May,Billion Cubic Meter,0.6084
Thailand,2022,May,Billion Cubic Meter,3.68597
Taiwan,2022,May,Billion Cubic Meter,2.173
South Korea,2022,May,Billion Cubic Meter,4.12352
Singapore,2022,May,Billion Cubic Meter,1.01592
Philippines,2022,May,Billion Cubic Meter,0.295
Pakistan,2022,May,Billion Cubic Meter,4.682304885
New Zealand,2022,May,Billion Cubic Meter,0.282897106
Malaysia,2022,May,Billion Cubic Meter,3.020993192
Japan,2022,May,Billion Cubic Meter,7.14947716
Indonesia,2022,May,Billion Cubic Meter,3.015
India,2022,May,Billion Cubic Meter,5.783559299
China,2022,May,Billion Cubic Meter,29.970612055
Bangladesh,2022,May,Billion Cubic Meter,2.417708621
Australia,2022,May,Billion Cubic Meter,2.560314764
Vietnam,2022,June,Billion Cubic Meter,0.5928
Thailand,2022,June,Billion Cubic Meter,3.67412
Taiwan,2022,June,Billion Cubic Meter,2.279
South Korea,2022,June,Billion Cubic Meter,4.05144
Singapore,2022,June,Billion Cubic Meter,1.11112
Philippines,2022,June,Billion Cubic Meter,0.281
Pakistan,2022,June,Billion Cubic Meter,4.730878528
New Zealand,2022,June,Billion Cubic Meter,0.260954549
Malaysia,2022,June,Billion Cubic Meter,2.955241552
Japan,2022,June,Billion Cubic Meter,7.86018144
Indonesia,2022,June,Billion Cubic Meter,2.699
India,2022,June,Billion Cubic Meter,5.004648364
China,2022,June,Billion Cubic Meter,29.1110254
Bangladesh,2022,June,Billion Cubic Meter,2.51563794
Australia,2022,June,Billion Cubic Meter,2.355441702
Vietnam,2022,July,Billion Cubic Meter,0.585
Thailand,2022,July,Billion Cubic Meter,3.61136
Taiwan,2022,July,Billion Cubic Meter,2.498
South Korea,2022,July,Billion Cubic Meter,4.453456
Singapore,2022,July,Billion Cubic Meter,1.21584
Philippines,2022,July,Billion Cubic Meter,0.256
Pakistan,2022,July,Billion Cubic Meter,3.483701672
New Zealand,2022,July,Billion Cubic Meter,0.307951448
Malaysia,2022,July,Billion Cubic Meter,3.232098754
Japan,2022,July,Billion Cubic Meter,8.688804241
Indonesia,2022,July,Billion Cubic Meter,3.068
India,2022,July,Billion Cubic Meter,5.310610345
China,2022,July,Billion Cubic Meter,28.854953212
Bangladesh,2022,July,Billion Cubic Meter,2.21956617
Australia,2022,July,Billion Cubic Meter,2.545378036
Vietnam,2022,August,Billion Cubic Meter,0.6006
Thailand,2022,August,Billion Cubic Meter,3.54377
Taiwan,2022,August,Billion Cubic Meter,2.461
South Korea,2022,August,Billion Cubic Meter,4.059872
Singapore,2022,August,Billion Cubic Meter,1.233520001
Philippines,2022,August,Billion Cubic Meter,0.227
Pakistan,2022,August,Billion Cubic Meter,2.983393149
New Zealand,2022,August,Billion Cubic Meter,0.26465898
Malaysia,2022,August,Billion Cubic Meter,3.077489706
Japan,2022,August,Billion Cubic Meter,8.02655064
Indonesia,2022,August,Billion Cubic Meter,2.698
India,2022,August,Billion Cubic Meter,4.857571407
China,2022,August,Billion Cubic Meter,28.827973631
Bangladesh,2022,August,Billion Cubic Meter,2.41595685
Australia,2022,August,Billion Cubic Meter,2.974047147
Vietnam,2022,September,Billion Cubic Meter,0.6474
Thailand,2022,September,Billion Cubic Meter,3.44389
Taiwan,2022,September,Billion Cubic Meter,2.297
South Korea,2022,September,Billion Cubic Meter,3.64956
Singapore,2022,September,Billion Cubic Meter,1.17504
Philippines,2022,September,Billion Cubic Meter,0.264
Pakistan,2022,September,Billion Cubic Meter,2.940356902
New Zealand,2022,September,Billion Cubic Meter,0.304272136
Malaysia,2022,September,Billion Cubic Meter,3.439565404
Japan,2022,September,Billion Cubic Meter,7.8281654
Indonesia,2022,September,Billion Cubic Meter,2.831
India,2022,September,Billion Cubic Meter,4.668443394
China,2022,September,Billion Cubic Meter,29.947916312
Bangladesh,2022,September,Billion Cubic Meter,2.248109551
Australia,2022,September,Billion Cubic Meter,2.50085411
Vietnam,2022,October,Billion Cubic Meter,0.6708
Thailand,2022,October,Billion Cubic Meter,3.25935
Taiwan,2022,October,Billion Cubic Meter,2.298
South Korea,2022,October,Billion Cubic Meter,4.115496
Singapore,2022,October,Billion Cubic Meter,1.060800001
Philippines,2022,October,Billion Cubic Meter,0.262
Pakistan,2022,October,Billion Cubic Meter,3.050521923
New Zealand,2022,October,Billion Cubic Meter,0.306675517
Malaysia,2022,October,Billion Cubic Meter,2.982354331
Japan,2022,October,Billion Cubic Meter,7.1846944
Indonesia,2022,October,Billion Cubic Meter,2.964
India,2022,October,Billion Cubic Meter,4.805519084
China,2022,October,Billion Cubic Meter,28.771187403
Bangladesh,2022,October,Billion Cubic Meter,2.19514044
Australia,2022,October,Billion Cubic Meter,2.169999058
Vietnam,2022,November,Billion Cubic Meter,0.7098
Thailand,2022,November,Billion Cubic Meter,3.48127
Taiwan,2022,November,Billion Cubic Meter,2.123
South Korea,2022,November,Billion Cubic Meter,4.860096
Singapore,2022,November,Billion Cubic Meter,1.14784
Philippines,2022,November,Billion Cubic Meter,0.234
Pakistan,2022,November,Billion Cubic Meter,2.138211762
New Zealand,2022,November,Billion Cubic Meter,0.269596207
Malaysia,2022,November,Billion Cubic Meter,3.665892119
Japan,2022,November,Billion Cubic Meter,7.42542384
Indonesia,2022,November,Billion Cubic Meter,2.929
India,2022,November,Billion Cubic Meter,4.998026814
China,2022,November,Billion Cubic Meter,32.780809209
Bangladesh,2022,November,Billion Cubic Meter,2.063336021
Australia,2022,November,Billion Cubic Meter,1.974743874
Vietnam,2022,December,Billion Cubic Meter,0.741
Thailand,2022,December,Billion Cubic Meter,3.25497
Taiwan,2022,December,Billion Cubic Meter,2.307
South Korea,2022,December,Billion Cubic Meter,7.795792
Singapore,2022,December,Billion Cubic Meter,1.15192
Philippines,2022,December,Billion Cubic Meter,0.238
Pakistan,2022,December,Billion Cubic Meter,2.358250365
New Zealand,2022,December,Billion Cubic Meter,0.268656041
Malaysia,2022,December,Billion Cubic Meter,3.146473582
Japan,2022,December,Billion Cubic Meter,9.36594272
Indonesia,2022,December,Billion Cubic Meter,2.818999999
India,2022,December,Billion Cubic Meter,5.023363339
China,2022,December,Billion Cubic Meter,34.264177616
Bangladesh,2022,December,Billion Cubic Meter,2.233905779
Australia,2022,December,Billion Cubic Meter,1.89295411
Vietnam,2021,January,Billion Cubic Meter,0.648
Thailand,2021,January,Billion Cubic Meter,3.64032
Taiwan,2021,January,Billion Cubic Meter,2.092
South Korea,2021,January,Billion Cubic Meter,7.896704
Singapore,2021,January,Billion Cubic Meter,1.00776
Philippines,2021,January,Billion Cubic Meter,0.335
Pakistan,2021,January,Billion Cubic Meter,2.13228921
New Zealand,2021,January,Billion Cubic Meter,0.345163672
Malaysia,2021,January,Billion Cubic Meter,3.362989494
Japan,2021,January,Billion Cubic Meter,11.660726359
Indonesia,2021,January,Billion Cubic Meter,2.858
India,2021,January,Billion Cubic Meter,5.176552192
China,2021,January,Billion Cubic Meter,30.784799009
Bangladesh,2021,January,Billion Cubic Meter,2.46306854
Australia,2021,January,Billion Cubic Meter,2.336015066
Vietnam,2021,February,Billion Cubic Meter,0.612
Thailand,2021,February,Billion Cubic Meter,3.59806
Taiwan,2021,February,Billion Cubic Meter,1.66
South Korea,2021,February,Billion Cubic Meter,6.05676
Singapore,2021,February,Billion Cubic Meter,1.09208
Philippines,2021,February,Billion Cubic Meter,0.262
Pakistan,2021,February,Billion Cubic Meter,2.063296003
New Zealand,2021,February,Billion Cubic Meter,0.307229664
Malaysia,2021,February,Billion Cubic Meter,2.333254133
Japan,2021,February,Billion Cubic Meter,10.16616264
Indonesia,2021,February,Billion Cubic Meter,2.822
India,2021,February,Billion Cubic Meter,4.782567998
China,2021,February,Billion Cubic Meter,25.038265242
Bangladesh,2021,February,Billion Cubic Meter,1.853896891
Australia,2021,February,Billion Cubic Meter,2.115490715
Vietnam,2021,March,Billion Cubic Meter,0.5976
Thailand,2021,March,Billion Cubic Meter,4.34873
Taiwan,2021,March,Billion Cubic Meter,2.09
South Korea,2021,March,Billion Cubic Meter,5.827328
Singapore,2021,March,Billion Cubic Meter,1.3396
Philippines,2021,March,Billion Cubic Meter,0.342
Pakistan,2021,March,Billion Cubic Meter,2.775490562
New Zealand,2021,March,Billion Cubic Meter,0.319507132
Malaysia,2021,March,Billion Cubic Meter,3.370763872
Japan,2021,March,Billion Cubic Meter,9.59144679
Indonesia,2021,March,Billion Cubic Meter,2.672999999
India,2021,March,Billion Cubic Meter,5.40134424
China,2021,March,Billion Cubic Meter,30.245608256
Bangladesh,2021,March,Billion Cubic Meter,2.655092529
Australia,2021,March,Billion Cubic Meter,2.10944679
Vietnam,2021,April,Billion Cubic Meter,0.5832
Thailand,2021,April,Billion Cubic Meter,3.87629
Taiwan,2021,April,Billion Cubic Meter,2.05
South Korea,2021,April,Billion Cubic Meter,4.669288
Singapore,2021,April,Billion Cubic Meter,1.24848
Philippines,2021,April,Billion Cubic Meter,0.324
Pakistan,2021,April,Billion Cubic Meter,3.647731416
New Zealand,2021,April,Billion Cubic Meter,0.315961857
Malaysia,2021,April,Billion Cubic Meter,2.96010097
Japan,2021,April,Billion Cubic Meter,7.31697632
Indonesia,2021,April,Billion Cubic Meter,2.524
India,2021,April,Billion Cubic Meter,5.518395514
China,2021,April,Billion Cubic Meter,30.548874972
Bangladesh,2021,April,Billion Cubic Meter,2.615557429
Australia,2021,April,Billion Cubic Meter,2.264797322
Vietnam,2021,May,Billion Cubic Meter,0.5616
Thailand,2021,May,Billion Cubic Meter,4.31625
Taiwan,2021,May,Billion Cubic Meter,2.207053412
South Korea,2021,May,Billion Cubic Meter,4.169624
Singapore,2021,May,Billion Cubic Meter,1.252559999
Philippines,2021,May,Billion Cubic Meter,0.338
Pakistan,2021,May,Billion Cubic Meter,4.058480121
New Zealand,2021,May,Billion Cubic Meter,0.332275076
Malaysia,2021,May,Billion Cubic Meter,3.17075788
Japan,2021,May,Billion Cubic Meter,7.13574628
Indonesia,2021,May,Billion Cubic Meter,2.757000001
India,2021,May,Billion Cubic Meter,5.215139411
China,2021,May,Billion Cubic Meter,30.673603177
Bangladesh,2021,May,Billion Cubic Meter,2.578611779
Australia,2021,May,Billion Cubic Meter,2.660107859
Vietnam,2021,June,Billion Cubic Meter,0.5472
Thailand,2021,June,Billion Cubic Meter,3.96124
Taiwan,2021,June,Billion Cubic Meter,2.085
South Korea,2021,June,Billion Cubic Meter,4.165544
Singapore,2021,June,Billion Cubic Meter,1.02952
Philippines,2021,June,Billion Cubic Meter,0.32
Pakistan,2021,June,Billion Cubic Meter,3.795275526
New Zealand,2021,June,Billion Cubic Meter,0.319614303
Malaysia,2021,June,Billion Cubic Meter,3.295
Japan,2021,June,Billion Cubic Meter,7.47445704
Indonesia,2021,June,Billion Cubic Meter,2.793
India,2021,June,Billion Cubic Meter,5.522977305
China,2021,June,Billion Cubic Meter,30.830610372
Bangladesh,2021,June,Billion Cubic Meter,2.674506329
Australia,2021,June,Billion Cubic Meter,2.545516114
Vietnam,2021,July,Billion Cubic Meter,0.54
Thailand,2021,July,Billion Cubic Meter,3.56308
Taiwan,2021,July,Billion Cubic Meter,2.332
South Korea,2021,July,Billion Cubic Meter,4.619648
Singapore,2021,July,Billion Cubic Meter,1.251200001
Philippines,2021,July,Billion Cubic Meter,0.301
Pakistan,2021,July,Billion Cubic Meter,4.263072884
New Zealand,2021,July,Billion Cubic Meter,0.336614068
Malaysia,2021,July,Billion Cubic Meter,2.672655877
Japan,2021,July,Billion Cubic Meter,8.760146039
Indonesia,2021,July,Billion Cubic Meter,3.039
India,2021,July,Billion Cubic Meter,5.434796157
China,2021,July,Billion Cubic Meter,28.357815672
Bangladesh,2021,July,Billion Cubic Meter,2.421583571
Australia,2021,July,Billion Cubic Meter,2.593702738
Vietnam,2021,August,Billion Cubic Meter,0.5544
Thailand,2021,August,Billion Cubic Meter,3.72372
Taiwan,2021,August,Billion Cubic Meter,2.262
South Korea,2021,August,Billion Cubic Meter,4.186352
Singapore,2021,August,Billion Cubic Meter,1.101599999
Philippines,2021,August,Billion Cubic Meter,0.314
Pakistan,2021,August,Billion Cubic Meter,3.988539306
New Zealand,2021,August,Billion Cubic Meter,0.333897089
Malaysia,2021,August,Billion Cubic Meter,2.279441653
Japan,2021,August,Billion Cubic Meter,8.10488376
Indonesia,2021,August,Billion Cubic Meter,2.832
India,2021,August,Billion Cubic Meter,5.841490941
China,2021,August,Billion Cubic Meter,29.947616799
Bangladesh,2021,August,Billion Cubic Meter,2.629973449
Australia,2021,August,Billion Cubic Meter,2.829283864
Vietnam,2021,September,Billion Cubic Meter,0.5976
Thailand,2021,September,Billion Cubic Meter,3.63928
Taiwan,2021,September,Billion Cubic Meter,2.209
South Korea,2021,September,Billion Cubic Meter,3.949712
Singapore,2021,September,Billion Cubic Meter,1.22128
Philippines,2021,September,Billion Cubic Meter,0.279
Pakistan,2021,September,Billion Cubic Meter,3.695822628
New Zealand,2021,September,Billion Cubic Meter,0.30567981
Malaysia,2021,September,Billion Cubic Meter,2.741115544
Japan,2021,September,Billion Cubic Meter,7.00900244
Indonesia,2021,September,Billion Cubic Meter,2.881
India,2021,September,Billion Cubic Meter,5.519004867
China,2021,September,Billion Cubic Meter,30.01590829
Bangladesh,2021,September,Billion Cubic Meter,2.54005586
Australia,2021,September,Billion Cubic Meter,2.449283816
Vietnam,2021,October,Billion Cubic Meter,0.6192
Thailand,2021,October,Billion Cubic Meter,3.6412
Taiwan,2021,October,Billion Cubic Meter,2.336
South Korea,2021,October,Billion Cubic Meter,4.4914
Singapore,2021,October,Billion Cubic Meter,1.22944
Philippines,2021,October,Billion Cubic Meter,0.048
Pakistan,2021,October,Billion Cubic Meter,3.597171769
New Zealand,2021,October,Billion Cubic Meter,0.347227176
Malaysia,2021,October,Billion Cubic Meter,2.930018996
Japan,2021,October,Billion Cubic Meter,7.29515768
Indonesia,2021,October,Billion Cubic Meter,3.846999999
India,2021,October,Billion Cubic Meter,5.572711527
China,2021,October,Billion Cubic Meter,29.125731717
Bangladesh,2021,October,Billion Cubic Meter,2.627324571
Australia,2021,October,Billion Cubic Meter,2.392159697
Vietnam,2021,November,Billion Cubic Meter,0.6552
Thailand,2021,November,Billion Cubic Meter,3.64182
Taiwan,2021,November,Billion Cubic Meter,2.315
South Korea,2021,November,Billion Cubic Meter,5.379616
Singapore,2021,November,Billion Cubic Meter,1.312399999
Philippines,2021,November,Billion Cubic Meter,0.25
Pakistan,2021,November,Billion Cubic Meter,2.18122281
New Zealand,2021,November,Billion Cubic Meter,0.336903447
Malaysia,2021,November,Billion Cubic Meter,3.093
Japan,2021,November,Billion Cubic Meter,8.126139799
Indonesia,2021,November,Billion Cubic Meter,3.892
India,2021,November,Billion Cubic Meter,5.281744239
China,2021,November,Billion Cubic Meter,32.169131243
Bangladesh,2021,November,Billion Cubic Meter,2.411273879
Australia,2021,November,Billion Cubic Meter,2.207677459
Vietnam,2021,December,Billion Cubic Meter,0.684
Thailand,2021,December,Billion Cubic Meter,3.47266
Taiwan,2021,December,Billion Cubic Meter,2.285
South Korea,2021,December,Billion Cubic Meter,6.89724
Singapore,2021,December,Billion Cubic Meter,0.98192
Philippines,2021,December,Billion Cubic Meter,0.287
Pakistan,2021,December,Billion Cubic Meter,2.281192757
New Zealand,2021,December,Billion Cubic Meter,0.329353284
Malaysia,2021,December,Billion Cubic Meter,2.660801434
Japan,2021,December,Billion Cubic Meter,10.13251352
Indonesia,2021,December,Billion Cubic Meter,2.590000001
India,2021,December,Billion Cubic Meter,5.390519522
China,2021,December,Billion Cubic Meter,35.043046898
Bangladesh,2021,December,Billion Cubic Meter,2.3267814
Australia,2021,December,Billion Cubic Meter,2.270481719
Vietnam,2020,January,Billion Cubic Meter,0.792
Thailand,2020,January,Billion Cubic Meter,3.88085
Taiwan,2020,January,Billion Cubic Meter,1.827
South Korea,2020,January,Billion Cubic Meter,6.688208
Singapore,2020,January,Billion Cubic Meter,0.96288
Philippines,2020,January,Billion Cubic Meter,0.339
Pakistan,2020,January,Billion Cubic Meter,2.454476487
New Zealand,2020,January,Billion Cubic Meter,0.382994499
Malaysia,2020,January,Billion Cubic Meter,2.963064187
Japan,2020,January,Billion Cubic Meter,9.95841344
Indonesia,2020,January,Billion Cubic Meter,3.244
India,2020,January,Billion Cubic Meter,5.233817004
China,2020,January,Billion Cubic Meter,30.317783115
Bangladesh,2020,January,Billion Cubic Meter,2.6696805
Australia,2020,January,Billion Cubic Meter,2.156060576
Vietnam,2020,February,Billion Cubic Meter,0.748
Thailand,2020,February,Billion Cubic Meter,3.73312
Taiwan,2020,February,Billion Cubic Meter,1.886
South Korea,2020,February,Billion Cubic Meter,5.98332
Singapore,2020,February,Billion Cubic Meter,1.23624
Philippines,2020,February,Billion Cubic Meter,0.332
Pakistan,2020,February,Billion Cubic Meter,1.421141322
New Zealand,2020,February,Billion Cubic Meter,0.37481822
Malaysia,2020,February,Billion Cubic Meter,2.988090358
Japan,2020,February,Billion Cubic Meter,9.894061921
Indonesia,2020,February,Billion Cubic Meter,2.765
India,2020,February,Billion Cubic Meter,5.797177178
China,2020,February,Billion Cubic Meter,25.301348485
Bangladesh,2020,February,Billion Cubic Meter,2.361937809
Australia,2020,February,Billion Cubic Meter,2.149570235
Vietnam,2020,March,Billion Cubic Meter,0.7304
Thailand,2020,March,Billion Cubic Meter,4.23198
Taiwan,2020,March,Billion Cubic Meter,2.064
South Korea,2020,March,Billion Cubic Meter,5.381384
Singapore,2020,March,Billion Cubic Meter,1.51232
Philippines,2020,March,Billion Cubic Meter,0.346
Pakistan,2020,March,Billion Cubic Meter,2.044300514
New Zealand,2020,March,Billion Cubic Meter,0.338851996
Malaysia,2020,March,Billion Cubic Meter,3.099424221
Japan,2020,March,Billion Cubic Meter,9.780937321
Indonesia,2020,March,Billion Cubic Meter,3.107
India,2020,March,Billion Cubic Meter,5.229686796
China,2020,March,Billion Cubic Meter,26.194351911
Bangladesh,2020,March,Billion Cubic Meter,2.53500646
Australia,2020,March,Billion Cubic Meter,2.206157461
Vietnam,2020,April,Billion Cubic Meter,0.7128
Thailand,2020,April,Billion Cubic Meter,3.60955
Taiwan,2020,April,Billion Cubic Meter,1.843
South Korea,2020,April,Billion Cubic Meter,4.04328
Singapore,2020,April,Billion Cubic Meter,1.094799999
Philippines,2020,April,Billion Cubic Meter,0.34
Pakistan,2020,April,Billion Cubic Meter,2.596966582
New Zealand,2020,April,Billion Cubic Meter,0.339986471
Malaysia,2020,April,Billion Cubic Meter,2.766184986
Japan,2020,April,Billion Cubic Meter,8.85985868
Indonesia,2020,April,Billion Cubic Meter,2.727
India,2020,April,Billion Cubic Meter,3.713929343
China,2020,April,Billion Cubic Meter,26.559368017
Bangladesh,2020,April,Billion Cubic Meter,2.436
Australia,2020,April,Billion Cubic Meter,2.190666571
Vietnam,2020,May,Billion Cubic Meter,0.6864
Thailand,2020,May,Billion Cubic Meter,3.67281
Taiwan,2020,May,Billion Cubic Meter,2.033
South Korea,2020,May,Billion Cubic Meter,3.070744
Singapore,2020,May,Billion Cubic Meter,1.108400001
Philippines,2020,May,Billion Cubic Meter,0.388
Pakistan,2020,May,Billion Cubic Meter,3.522776241
New Zealand,2020,May,Billion Cubic Meter,0.411836012
Malaysia,2020,May,Billion Cubic Meter,2.846898947
Japan,2020,May,Billion Cubic Meter,6.97663852
Indonesia,2020,May,Billion Cubic Meter,2.816
India,2020,May,Billion Cubic Meter,4.939966276
China,2020,May,Billion Cubic Meter,26.490345555
Bangladesh,2020,May,Billion Cubic Meter,2.24851424
Australia,2020,May,Billion Cubic Meter,2.584568743
Vietnam,2020,June,Billion Cubic Meter,0.6688
Thailand,2020,June,Billion Cubic Meter,3.6775
Taiwan,2020,June,Billion Cubic Meter,2.01814933
South Korea,2020,June,Billion Cubic Meter,3.267536
Singapore,2020,June,Billion Cubic Meter,0.932960001
Philippines,2020,June,Billion Cubic Meter,0.317
Pakistan,2020,June,Billion Cubic Meter,4.005889098
New Zealand,2020,June,Billion Cubic Meter,0.400673232
Malaysia,2020,June,Billion Cubic Meter,2.991246542
Japan,2020,June,Billion Cubic Meter,6.93699728
Indonesia,2020,June,Billion Cubic Meter,2.31
India,2020,June,Billion Cubic Meter,5.187884904
China,2020,June,Billion Cubic Meter,26.486110766
Bangladesh,2020,June,Billion Cubic Meter,2.383352421
Australia,2020,June,Billion Cubic Meter,2.827384974
Vietnam,2020,July,Billion Cubic Meter,0.66
Thailand,2020,July,Billion Cubic Meter,3.98443
Taiwan,2020,July,Billion Cubic Meter,2.087
South Korea,2020,July,Billion Cubic Meter,3.51016
Singapore,2020,July,Billion Cubic Meter,1.16416
Philippines,2020,July,Billion Cubic Meter,0.342
Pakistan,2020,July,Billion Cubic Meter,4.240462008
New Zealand,2020,July,Billion Cubic Meter,0.404217784
Malaysia,2020,July,Billion Cubic Meter,2.608462784
Japan,2020,July,Billion Cubic Meter,7.93271168
Indonesia,2020,July,Billion Cubic Meter,2.97
India,2020,July,Billion Cubic Meter,5.424414746
China,2020,July,Billion Cubic Meter,24.170959603
Bangladesh,2020,July,Billion Cubic Meter,2.533713149
Australia,2020,July,Billion Cubic Meter,2.976672068
Vietnam,2020,August,Billion Cubic Meter,0.6776
Thailand,2020,August,Billion Cubic Meter,3.72636
Taiwan,2020,August,Billion Cubic Meter,2.032
South Korea,2020,August,Billion Cubic Meter,4.02492
Singapore,2020,August,Billion Cubic Meter,1.23624
Philippines,2020,August,Billion Cubic Meter,0.328
Pakistan,2020,August,Billion Cubic Meter,4.192413896
New Zealand,2020,August,Billion Cubic Meter,0.377622405
Malaysia,2020,August,Billion Cubic Meter,2.731852814
Japan,2020,August,Billion Cubic Meter,8.37530287
Indonesia,2020,August,Billion Cubic Meter,2.602000001
India,2020,August,Billion Cubic Meter,5.293309553
China,2020,August,Billion Cubic Meter,26.869175841
Bangladesh,2020,August,Billion Cubic Meter,2.485772951
Australia,2020,August,Billion Cubic Meter,2.714681441
Vietnam,2020,September,Billion Cubic Meter,0.7304
Thailand,2020,September,Billion Cubic Meter,3.75226
Taiwan,2020,September,Billion Cubic Meter,1.929
South Korea,2020,September,Billion Cubic Meter,3.808136
Singapore,2020,September,Billion Cubic Meter,1.0744
Philippines,2020,September,Billion Cubic Meter,0.302
Pakistan,2020,September,Billion Cubic Meter,3.88058959
New Zealand,2020,September,Billion Cubic Meter,0.379890504
Malaysia,2020,September,Billion Cubic Meter,2.664026376
Japan,2020,September,Billion Cubic Meter,8.6458606
Indonesia,2020,September,Billion Cubic Meter,2.544
India,2020,September,Billion Cubic Meter,5.053472122
China,2020,September,Billion Cubic Meter,26.280430782
Bangladesh,2020,September,Billion Cubic Meter,2.553158079
Australia,2020,September,Billion Cubic Meter,2.449736702
Vietnam,2020,October,Billion Cubic Meter,0.7568
Thailand,2020,October,Billion Cubic Meter,3.71758
Taiwan,2020,October,Billion Cubic Meter,2.015
South Korea,2020,October,Billion Cubic Meter,4.174248
Singapore,2020,October,Billion Cubic Meter,1.003680001
Philippines,2020,October,Billion Cubic Meter,0.292
Pakistan,2020,October,Billion Cubic Meter,3.756217502
New Zealand,2020,October,Billion Cubic Meter,0.380954617
Malaysia,2020,October,Billion Cubic Meter,2.952030648
Japan,2020,October,Billion Cubic Meter,8.7928682
Indonesia,2020,October,Billion Cubic Meter,2.675
India,2020,October,Billion Cubic Meter,5.818745725
China,2020,October,Billion Cubic Meter,26.478653873
Bangladesh,2020,October,Billion Cubic Meter,2.568100479
Australia,2020,October,Billion Cubic Meter,2.293981545
Vietnam,2020,November,Billion Cubic Meter,0.8008
Thailand,2020,November,Billion Cubic Meter,3.68601
Taiwan,2020,November,Billion Cubic Meter,2.066
South Korea,2020,November,Billion Cubic Meter,5.166504
Singapore,2020,November,Billion Cubic Meter,0.97104
Philippines,2020,November,Billion Cubic Meter,0.302
Pakistan,2020,November,Billion Cubic Meter,2.209756328
New Zealand,2020,November,Billion Cubic Meter,0.35359226
Malaysia,2020,November,Billion Cubic Meter,3.044579004
Japan,2020,November,Billion Cubic Meter,8.451378681
Indonesia,2020,November,Billion Cubic Meter,2.524
India,2020,November,Billion Cubic Meter,5.022468803
China,2020,November,Billion Cubic Meter,29.248398238
Bangladesh,2020,November,Billion Cubic Meter,2.3431551
Australia,2020,November,Billion Cubic Meter,2.161403665
Vietnam,2020,December,Billion Cubic Meter,0.836
Thailand,2020,December,Billion Cubic Meter,3.59732
Taiwan,2020,December,Billion Cubic Meter,2.149
South Korea,2020,December,Billion Cubic Meter,7.31476
Singapore,2020,December,Billion Cubic Meter,0.97784
Philippines,2020,December,Billion Cubic Meter,0.32
Pakistan,2020,December,Billion Cubic Meter,2.193446099
New Zealand,2020,December,Billion Cubic Meter,0.346611245
Malaysia,2020,December,Billion Cubic Meter,2.5082754
Japan,2020,December,Billion Cubic Meter,9.67407932
Indonesia,2020,December,Billion Cubic Meter,2.513
India,2020,December,Billion Cubic Meter,5.166804714
China,2020,December,Billion Cubic Meter,33.862417122
Bangladesh,2020,December,Billion Cubic Meter,2.5099553
Australia,2020,December,Billion Cubic Meter,2.188042723
Vietnam,2019,January,Billion Cubic Meter,0.882
Thailand,2019,January,Billion Cubic Meter,3.86506
Taiwan,2019,January,Billion Cubic Meter,1.848
South Korea,2019,January,Billion Cubic Meter,6.850728
Singapore,2019,January,Billion Cubic Meter,1.132879999
Philippines,2019,January,Billion Cubic Meter,0.366
Pakistan,2019,January,Billion Cubic Meter,2.416638713
New Zealand,2019,January,Billion Cubic Meter,0.377109768
Malaysia,2019,January,Billion Cubic Meter,2.32877464
Japan,2019,January,Billion Cubic Meter,10.500817999
Indonesia,2019,January,Billion Cubic Meter,2.949
India,2019,January,Billion Cubic Meter,4.952848331
China,2019,January,Billion Cubic Meter,29.12401551
Bangladesh,2019,January,Billion Cubic Meter,2.465455017
Australia,2019,January,Billion Cubic Meter,2.239515942
Vietnam,2019,February,Billion Cubic Meter,0.833
Thailand,2019,February,Billion Cubic Meter,3.79944
