Month of Date,Target Country,Point,flows_bcm
May 2023,France,Montoir de Bretagne,0.861430924
June 2023,France,Montoir de Bretagne,0.425487616
July 2023,France,Montoir de Bretagne,0.891554523
August 2023,France,Montoir de Bretagne,0.571583016
September 2023,France,Montoir de Bretagne,0.707581713
October 2023,France,Montoir de Bretagne,0.406659448
November 2023,France,Montoir de Bretagne,0.999652648
December 2023,France,Montoir de Bretagne,0.97198008
January 2024,France,Montoir de Bretagne,0.680099303
February 2024,France,Montoir de Bretagne,0.494290947
March 2024,France,Montoir de Bretagne,0.820576409
April 2024,France,Montoir de Bretagne,0.81926888
May 2024,France,Montoir de Bretagne,0.355151629
June 2024,France,Montoir de Bretagne,0.076463743
July 2024,France,Montoir de Bretagne,0.005373998
August 2024,France,Montoir de Bretagne,0.154397746
September 2024,France,Montoir de Bretagne,0.532603629
October 2024,France,Montoir de Bretagne,0.51603436
November 2024,France,Montoir de Bretagne,0.555223613
December 2024,France,Montoir de Bretagne,0.622072615
January 2025,France,Montoir de Bretagne,0.835764191
February 2025,France,Montoir de Bretagne,0.644798469
March 2025,France,Montoir de Bretagne,1.236982726
April 2025,France,Montoir de Bretagne,0.916200169
May 2025,France,Montoir de Bretagne,0.32992035
June 2025,France,Montoir de Bretagne,0.841831667
July 2025,France,Montoir de Bretagne,0.814791243
August 2025,France,Montoir de Bretagne,0.428870574
September 2025,France,Montoir de Bretagne,0.597072698
October 2025,France,Montoir de Bretagne,0.340166453
November 2025,France,Montoir de Bretagne,0.671258155
December 2025,France,Montoir de Bretagne,0.698058954
January 2026,France,Montoir de Bretagne,0.23469445
August 2023,France,Le Havre FSRU,0
September 2023,France,Le Havre FSRU,3.2298e-05
October 2023,France,Le Havre FSRU,0.049980069
November 2023,France,Le Havre FSRU,0.178130426
December 2023,France,Le Havre FSRU,0.202402675
January 2024,France,Le Havre FSRU,0.109180057
February 2024,France,Le Havre FSRU,0.081032535
March 2024,France,Le Havre FSRU,0.074854578
April 2024,France,Le Havre FSRU,0.085836637
May 2024,France,Le Havre FSRU,0.085642494
June 2024,France,Le Havre FSRU,0.077769044
July 2024,France,Le Havre FSRU,0.072668924
August 2024,France,Le Havre FSRU,0
September 2024,France,Le Havre FSRU,0
October 2024,France,Le Havre FSRU,0
November 2024,France,Le Havre FSRU,0
December 2024,France,Le Havre FSRU,0
January 2025,France,Le Havre FSRU,0
February 2025,France,Le Havre FSRU,0
March 2025,France,Le Havre FSRU,0
April 2025,France,Le Havre FSRU,0
May 2025,France,Le Havre FSRU,0
June 2025,France,Le Havre FSRU,0
July 2025,France,Le Havre FSRU,0
August 2025,France,Le Havre FSRU,0
September 2025,France,Le Havre FSRU,0
October 2025,France,Le Havre FSRU,0
November 2025,France,Le Havre FSRU,0
December 2025,France,Le Havre FSRU,0
January 2026,France,Le Havre FSRU,0
January 2021,France,Fos (Tonkin/Cavaou),0.193398482
February 2021,France,Fos (Tonkin/Cavaou),0.262169463
March 2021,France,Fos (Tonkin/Cavaou),0.720385364
April 2021,France,Fos (Tonkin/Cavaou),0.841277332
May 2021,France,Fos (Tonkin/Cavaou),0.971041167
June 2021,France,Fos (Tonkin/Cavaou),0.582824643
July 2021,France,Fos (Tonkin/Cavaou),0.356676357
August 2021,France,Fos (Tonkin/Cavaou),0.4041284
September 2021,France,Fos (Tonkin/Cavaou),0.513403166
October 2021,France,Fos (Tonkin/Cavaou),0.833173117
November 2021,France,Fos (Tonkin/Cavaou),0.708111212
December 2021,France,Fos (Tonkin/Cavaou),0.600143715
January 2022,France,Fos (Tonkin/Cavaou),1.047099902
February 2022,France,Fos (Tonkin/Cavaou),0.571377422
March 2022,France,Fos (Tonkin/Cavaou),0.929135856
April 2022,France,Fos (Tonkin/Cavaou),0.927401028
May 2022,France,Fos (Tonkin/Cavaou),1.043489707
June 2022,France,Fos (Tonkin/Cavaou),0.477042619
July 2022,France,Fos (Tonkin/Cavaou),1.058791122
August 2022,France,Fos (Tonkin/Cavaou),0.994113036
September 2022,France,Fos (Tonkin/Cavaou),0.943312045
October 2022,France,Fos (Tonkin/Cavaou),1.053233775
November 2022,France,Fos (Tonkin/Cavaou),1.176445832
December 2022,France,Fos (Tonkin/Cavaou),1.162671288
January 2023,France,Fos (Tonkin/Cavaou),1.053828922
February 2023,France,Fos (Tonkin/Cavaou),0.849840521
March 2023,France,Fos (Tonkin/Cavaou),0.194063599
April 2023,France,Fos (Tonkin/Cavaou),0.581285653
May 2023,France,Fos (Tonkin/Cavaou),1.048851359
June 2023,France,Fos (Tonkin/Cavaou),0.906487775
July 2023,France,Fos (Tonkin/Cavaou),0.805069874
August 2023,France,Fos (Tonkin/Cavaou),0.71030205
September 2023,France,Fos (Tonkin/Cavaou),0.416182415
October 2023,France,Fos (Tonkin/Cavaou),0.797821608
November 2023,France,Fos (Tonkin/Cavaou),1.188674184
December 2023,France,Fos (Tonkin/Cavaou),1.030895123
January 2024,France,Fos (Tonkin/Cavaou),0.705658959
February 2024,France,Fos (Tonkin/Cavaou),0.521918301
March 2024,France,Fos (Tonkin/Cavaou),0.782411354
April 2024,France,Fos (Tonkin/Cavaou),0.865339453
May 2024,France,Fos (Tonkin/Cavaou),0.614184955
June 2024,France,Fos (Tonkin/Cavaou),0.732392862
July 2024,France,Fos (Tonkin/Cavaou),0.369401837
August 2024,France,Fos (Tonkin/Cavaou),0.707952709
September 2024,France,Fos (Tonkin/Cavaou),0.357914404
October 2024,France,Fos (Tonkin/Cavaou),0.801508396
November 2024,France,Fos (Tonkin/Cavaou),0.74620804
December 2024,France,Fos (Tonkin/Cavaou),0.802206035
January 2025,France,Fos (Tonkin/Cavaou),0.815503946
February 2025,France,Fos (Tonkin/Cavaou),0.963171257
March 2025,France,Fos (Tonkin/Cavaou),1.222272746
April 2025,France,Fos (Tonkin/Cavaou),1.070252881
