Month of Date,Point,flows_bcm
April 2025,Reganosa,0.243626168
March 2025,Reganosa,0.234067349
February 2025,Reganosa,0.156178692
January 2025,Reganosa,0.179080659
December 2024,Reganosa,0.182821598
November 2024,Reganosa,0.169847067
October 2024,Reganosa,0.162199081
September 2024,Reganosa,0.157475059
August 2024,Reganosa,0.162698606
July 2024,Reganosa,0.161434784
June 2024,Reganosa,0.164789704
May 2024,Reganosa,0.188331488
April 2024,Reganosa,0.191888168
March 2024,Reganosa,0.222014845
February 2024,Reganosa,0.157066897
January 2024,Reganosa,0.235256574
December 2023,Reganosa,0.194153508
November 2023,Reganosa,0.214180229
October 2023,Reganosa,0.247742699
September 2023,Reganosa,0.177086548
August 2023,Reganosa,0.147093277
July 2023,Reganosa,0.192292472
June 2023,Reganosa,0.237125608
May 2023,Reganosa,0.224654018
April 2023,Reganosa,0.254160118
March 2023,Reganosa,0.242849858
February 2023,Reganosa,0.237403264
January 2023,Reganosa,0.266640358
December 2022,Reganosa,0.27860826
November 2022,Reganosa,0.199209128
October 2022,Reganosa,0.136662436
September 2022,Reganosa,0.213803048
August 2022,Reganosa,0.162624044
July 2022,Reganosa,0.174632291
June 2022,Reganosa,0.187173303
May 2022,Reganosa,0.152412463
April 2022,Reganosa,0.191724037
March 2022,Reganosa,0.1679096
February 2022,Reganosa,0.163507932
January 2022,Reganosa,0.174681599
December 2021,Reganosa,0.22009821
November 2021,Reganosa,0.177123131
October 2021,Reganosa,0.168601028
September 2021,Reganosa,0.176600206
August 2021,Reganosa,0.136402079
July 2021,Reganosa,0.109877325
June 2021,Reganosa,0.172871675
May 2021,Reganosa,0.192129133
April 2021,Reganosa,0.210219986
March 2021,Reganosa,0.22401948
February 2021,Reganosa,0.198661745
January 2021,Reganosa,0.214765175
January 2026,Montoir de Bretagne,0.23469445
December 2025,Montoir de Bretagne,0.698058954
November 2025,Montoir de Bretagne,0.671258155
October 2025,Montoir de Bretagne,0.340166453
September 2025,Montoir de Bretagne,0.597072698
August 2025,Montoir de Bretagne,0.428870574
July 2025,Montoir de Bretagne,0.814791243
June 2025,Montoir de Bretagne,0.841831667
May 2025,Montoir de Bretagne,0.32992035
April 2025,Montoir de Bretagne,0.916200169
March 2025,Montoir de Bretagne,1.236982726
February 2025,Montoir de Bretagne,0.644798469
January 2025,Montoir de Bretagne,0.835764191
December 2024,Montoir de Bretagne,0.622072615
November 2024,Montoir de Bretagne,0.555223613
October 2024,Montoir de Bretagne,0.51603436
September 2024,Montoir de Bretagne,0.532603629
August 2024,Montoir de Bretagne,0.154397746
July 2024,Montoir de Bretagne,0.005373998
June 2024,Montoir de Bretagne,0.076463743
May 2024,Montoir de Bretagne,0.355151629
April 2024,Montoir de Bretagne,0.81926888
March 2024,Montoir de Bretagne,0.820576409
February 2024,Montoir de Bretagne,0.494290947
January 2024,Montoir de Bretagne,0.680099303
December 2023,Montoir de Bretagne,0.97198008
November 2023,Montoir de Bretagne,0.999652648
October 2023,Montoir de Bretagne,0.406659448
September 2023,Montoir de Bretagne,0.707581713
August 2023,Montoir de Bretagne,0.571583016
July 2023,Montoir de Bretagne,0.891554523
June 2023,Montoir de Bretagne,0.425487616
May 2023,Montoir de Bretagne,0.861430924
April 2023,Montoir de Bretagne,0.528821986
March 2023,Montoir de Bretagne,0.203666261
February 2023,Montoir de Bretagne,0.660000352
January 2023,Montoir de Bretagne,0.945040111
December 2022,Montoir de Bretagne,1.124509898
November 2022,Montoir de Bretagne,0.931807645
October 2022,Montoir de Bretagne,0.535973619
September 2022,Montoir de Bretagne,0.750187148
August 2022,Montoir de Bretagne,1.053016843
July 2022,Montoir de Bretagne,0.730699712
June 2022,Montoir de Bretagne,0.35099072
May 2022,Montoir de Bretagne,0.833050586
April 2022,Montoir de Bretagne,0.905510627
March 2022,Montoir de Bretagne,0.940568459
February 2022,Montoir de Bretagne,0.948901631
January 2022,Montoir de Bretagne,0.994913384
December 2021,Montoir de Bretagne,0.648639275
November 2021,Montoir de Bretagne,0.521957881
October 2021,Montoir de Bretagne,0.294506306
September 2021,Montoir de Bretagne,0.429186522
August 2021,Montoir de Bretagne,0.417544918
July 2021,Montoir de Bretagne,0.483717292
June 2021,Montoir de Bretagne,0.287509571
May 2021,Montoir de Bretagne,0.082212738
April 2021,Montoir de Bretagne,0.70672102
March 2021,Montoir de Bretagne,0.854332945
February 2021,Montoir de Bretagne,0.415695999
January 2021,Montoir de Bretagne,0.248666598
January 2026,Milford Haven,0.511927585
December 2025,Milford Haven,1.5641165
November 2025,Milford Haven,1.65788837
October 2025,Milford Haven,0.619119138
September 2025,Milford Haven,0.161804964
August 2025,Milford Haven,0.173714755
July 2025,Milford Haven,0.20300737
June 2025,Milford Haven,0.178232796
May 2025,Milford Haven,0.27375481
April 2025,Milford Haven,0.470800363
March 2025,Milford Haven,1.649433649
February 2025,Milford Haven,1.938928147
January 2025,Milford Haven,1.762586064
December 2024,Milford Haven,1.610424859
November 2024,Milford Haven,1.061443649
October 2024,Milford Haven,0.396238916
September 2024,Milford Haven,0.217171873
August 2024,Milford Haven,0.198486236
July 2024,Milford Haven,0.16755373
June 2024,Milford Haven,0.173850779
May 2024,Milford Haven,0.403738969
April 2024,Milford Haven,0.432976913
March 2024,Milford Haven,0.395907285
February 2024,Milford Haven,1.199874554
January 2024,Milford Haven,1.610109012
December 2023,Milford Haven,1.35482598
November 2023,Milford Haven,1.090573621
October 2023,Milford Haven,0.696805685
September 2023,Milford Haven,0.238473634
August 2023,Milford Haven,0.259701106
July 2023,Milford Haven,0.171891167
June 2023,Milford Haven,0.425778931
May 2023,Milford Haven,1.380814579
April 2023,Milford Haven,1.686034072
March 2023,Milford Haven,1.868431816
February 2023,Milford Haven,1.73667311
January 2023,Milford Haven,1.670566084
