Day of Date,Header_Exporter,Gas Origin,Header_Importer,Target Country,Interconnection Point,flows_bcm
"May 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060794381
"May 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060728952
"May 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060299524
"May 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060287905
"May 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.058920476
"May 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.061745238
"May 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.061276381
"May 31, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.060573238
"June 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.055158286
"June 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054922762
"June 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.056936476
"June 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.056280095
"June 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.056573714
"June 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.056403238
"June 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.055801429
"June 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.055878476
"June 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.056527143
"June 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.056204762
"June 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.056051524
"June 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.057353333
"June 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.05766019
"June 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.056770667
"June 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054987238
"June 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054678762
"June 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054544857
"June 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054590952
"June 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053072762
"June 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053412571
"June 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.052910286
"June 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.05354019
"June 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.05293019
"June 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.052135333
