Month of Date,Sector,adjusted_unit,Country,adjusted_unit_value
May 2019,Power,Billion Cubic Meter,*,23.192640387
April 2019,Power,Billion Cubic Meter,*,23.042612688
March 2019,Power,Billion Cubic Meter,*,23.459533978
February 2019,Power,Billion Cubic Meter,*,23.608125793
January 2019,Power,Billion Cubic Meter,*,25.095013852
September 2025,Household,Billion Cubic Meter,*,10.144099535
August 2025,Household,Billion Cubic Meter,*,10.476315869
July 2025,Household,Billion Cubic Meter,*,10.38555547
June 2025,Household,Billion Cubic Meter,*,10.576827193
May 2025,Household,Billion Cubic Meter,*,11.217613016
April 2025,Household,Billion Cubic Meter,*,10.468708239
March 2025,Household,Billion Cubic Meter,*,9.292202385
February 2025,Household,Billion Cubic Meter,*,9.107748205
January 2025,Household,Billion Cubic Meter,*,12.057933913
December 2024,Household,Billion Cubic Meter,*,12.449369684
November 2024,Household,Billion Cubic Meter,*,11.53354585
October 2024,Household,Billion Cubic Meter,*,11.748554469
September 2024,Household,Billion Cubic Meter,*,11.943519064
August 2024,Household,Billion Cubic Meter,*,12.265759188
July 2024,Household,Billion Cubic Meter,*,11.957324404
June 2024,Household,Billion Cubic Meter,*,11.314180064
May 2024,Household,Billion Cubic Meter,*,12.830349163
April 2024,Household,Billion Cubic Meter,*,11.46096849
March 2024,Household,Billion Cubic Meter,*,12.404097925
February 2024,Household,Billion Cubic Meter,*,7.999733059
January 2024,Household,Billion Cubic Meter,*,11.756323033
December 2023,Household,Billion Cubic Meter,*,14.641810363
November 2023,Household,Billion Cubic Meter,*,11.670900325
October 2023,Household,Billion Cubic Meter,*,8.466222241
September 2023,Household,Billion Cubic Meter,*,9.75356822
August 2023,Household,Billion Cubic Meter,*,10.563309687
July 2023,Household,Billion Cubic Meter,*,10.614900196
June 2023,Household,Billion Cubic Meter,*,10.708187347
May 2023,Household,Billion Cubic Meter,*,12.365959228
April 2023,Household,Billion Cubic Meter,*,10.465937354
March 2023,Household,Billion Cubic Meter,*,10.188809777
February 2023,Household,Billion Cubic Meter,*,7.727367298
January 2023,Household,Billion Cubic Meter,*,9.337882121
December 2022,Household,Billion Cubic Meter,*,13.683926077
November 2022,Household,Billion Cubic Meter,*,12.517930857
October 2022,Household,Billion Cubic Meter,*,8.686436493
September 2022,Household,Billion Cubic Meter,*,9.725650224
August 2022,Household,Billion Cubic Meter,*,8.739797447
July 2022,Household,Billion Cubic Meter,*,9.152059413
June 2022,Household,Billion Cubic Meter,*,8.602065122
May 2022,Household,Billion Cubic Meter,*,10.429097125
