Month of Date,Sector,adjusted_unit,Country,adjusted_unit_value
March 2023,Household,Gigawatt-hour,*,106983.750509
February 2023,Household,Gigawatt-hour,*,81137.333211
January 2023,Household,Gigawatt-hour,*,98046.20711
December 2022,Household,Gigawatt-hour,*,143681.486441
November 2022,Household,Gigawatt-hour,*,131436.794385
October 2022,Household,Gigawatt-hour,*,91207.604311
September 2022,Household,Gigawatt-hour,*,102117.551098
August 2022,Household,Gigawatt-hour,*,91767.115452
July 2022,Household,Gigawatt-hour,*,96098.330478
June 2022,Household,Gigawatt-hour,*,90322.945912
May 2022,Household,Gigawatt-hour,*,109507.244742
April 2022,Household,Gigawatt-hour,*,105294.041118
March 2022,Household,Gigawatt-hour,*,105400.805298
February 2022,Household,Gigawatt-hour,*,111267.882128
January 2022,Household,Gigawatt-hour,*,116801.399377
December 2021,Household,Gigawatt-hour,*,155311.488339
November 2021,Household,Gigawatt-hour,*,133223.613395
October 2021,Household,Gigawatt-hour,*,110839.515348
September 2021,Household,Gigawatt-hour,*,116911.398573
August 2021,Household,Gigawatt-hour,*,105779.317125
July 2021,Household,Gigawatt-hour,*,91465.030295
June 2021,Household,Gigawatt-hour,*,112189.376478
May 2021,Household,Gigawatt-hour,*,114195.849936
April 2021,Household,Gigawatt-hour,*,116292.573667
March 2021,Household,Gigawatt-hour,*,107216.579006
February 2021,Household,Gigawatt-hour,*,67451.367804
January 2021,Household,Gigawatt-hour,*,126453.202382
December 2020,Household,Gigawatt-hour,*,140890.55068
November 2020,Household,Gigawatt-hour,*,106983.449202
October 2020,Household,Gigawatt-hour,*,90706.624102
September 2020,Household,Gigawatt-hour,*,81377.126797
August 2020,Household,Gigawatt-hour,*,82933.936949
July 2020,Household,Gigawatt-hour,*,66339.804563
June 2020,Household,Gigawatt-hour,*,82279.387319
May 2020,Household,Gigawatt-hour,*,88094.651822
April 2020,Household,Gigawatt-hour,*,93586.598033
March 2020,Household,Gigawatt-hour,*,96999.9313
February 2020,Household,Gigawatt-hour,*,77223.099336
January 2020,Household,Gigawatt-hour,*,121874.74067
December 2019,Household,Gigawatt-hour,*,102830.258172
November 2019,Household,Gigawatt-hour,*,99495.006059
October 2019,Household,Gigawatt-hour,*,65389.188336
September 2019,Household,Gigawatt-hour,*,72024.009449
August 2019,Household,Gigawatt-hour,*,74192.492122
