Carbon Intensity,Country,Crude list,Year of YearReported (Custom SQL Query1),ProductionDataValue
High,Iraq,"Basrah Heavy, Kirkuk, Basrah Light",2020,3919.66
High,Iran,Nowruz-Soroush,2020,15
High,Egypt,Suez Blend,2020,59.2
High,Ecuador,Oriente,2020,310.07
High,Colombia,Vasconia,2020,144
High,China,"Panyu, Nanhai Light, Changqing",2020,558.16
High,Chad,Doba,2020,132.4
High,Brazil,Marlim,2020,212.54
High,Australia,"Pyrenees, Vincent",2020,53.12
High,Angola,"Plutonio, Kissanje Blend",2020,117.42
High,Algeria,"Saharan Blend, Algerian Condensate",2020,836.83
Very High,Venezuela,"Boscan, Hamaca, Santa Barbara, Merey-16",2020,451
Very High,Nigeria,"Brass River, Escravos, Qua Iboe",2020,411.49
Very High,Malaysia,"Kimanis, Miri",2020,159.86
Very High,Libya,"Zueitina, Brega, Abu Attifel, Mellitah, Sarir, Sirtica",2020,140
Very High,Iran,"Iran Heavy, Iran Light",2020,1733
Very High,Indonesia,"Duri, Minas",2020,174
Very High,Gabon,"Oguendjo Blend, Rabi Light",2020,85.52
Very High,Colombia,Castilla,2020,427.34
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2020,898.91
Very High,Australia,Northwest Shelf Condensate,2020,80.66
Very Low,United Kingdom,"Clair, Schiehallion Blend",2021,125
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2021,6416.7
Very Low,Norway,"Gullfaks Blend, Heidrun, Ekofisk Blend, Gudrun Blend, Statfjord Blend, Johan Sverdrup",2021,1053.68
Very Low,Kuwait,Kuwait,2021,2138
Very Low,Iran,South Pars Condensate,2021,680
Very Low,Egypt,Western Desert Blend,2021,277.65
Very Low,China,Shengli,2021,469.92
Very Low,Brazil,Buzios,2021,549.92
Very Low,Australia,Wheatstone Condensate,2021,36.88
Very Low,Abu Dhabi,Upper Zakum,2021,757
Low,United States,"Mars Blend, Bakken",2021,1339.67
Low,United Kingdom,Flotta Gold,2021,50
Low,Saudi Arabia,Arab Heavy,2021,1472.06
Low,Norway,Skarv,2021,26.25
Low,Nigeria,"Akpo Blend, Bonga, Bonny Light, Egina",2021,433.04
Low,Mexico,Isthmus,2021,532
Low,Kuwait,Kuwait Export Heavy,2021,38.35
Low,Kazakhstan,Tengiz,2021,576.65
Low,Egypt,Belayim Blend,2021,63.18
Low,Dubai,Dubai,2021,22
Low,China,"Peng Lai, Daqing",2021,667.47
Low,Canada,Hebron,2021,138.53
Low,Brazil,"Atapu, Sururu, Sapinhoa, Mero, Sepia",2021,448.58
Low,Australia,Ichthys Condensate,2021,73.97
Medium,United States,"Eagle Ford, Thunder Horse, Alaska North Slope",2021,1577
Medium,United Kingdom,Forties Blend,2021,224
Medium,Turkmenistan,Cheleken,2021,80
Medium,Syria,"Souedieh, Syrian Light",2021,140
Medium,Saudi Arabia,Arab Extra Light,2021,1160.81
Medium,Russia,"Sakhalin Blend, Urals, Siberian Light, Sokol",2021,7906.47
Medium,Qatar,"Dukhan, Qatar Marine",2021,298.95
Medium,Norway,"Troll, Asgard Blend, Oseberg",2021,311.08
Medium,Nigeria,Amenam Blend,2021,65.07
Medium,Neutral Zone,Wafra,2021,60
Medium,Libya,Bouri,2021,33
Medium,Kuwait,Kuwait Super Light,2021,139.29
Medium,Iraq,Basrah Medium,2021,1342
Medium,Iran,Foroozan Blend,2021,35
Medium,Guyana,Liza,2021,113.3
Medium,Ghana,"Jubilee, Sankofa",2021,117.12
Medium,Equatorial Guinea,"New Zafiro, Alba Condensate",2021,69.46
Medium,Ecuador,Napo,2021,152.26
Medium,Denmark,Danish Crude Blend,2021,56
Medium,Congo (Brazzaville),Djeno,2021,204.4
Medium,Canada,Hibernia,2021,99.11
Medium,Brazil,"Frade, Roncador, Tupi, Jubarte",2021,1262.88
Medium,Azerbaijan,Azeri Light,2021,84.93
Medium,Australia,Gippsland,2021,23.21
Medium,Argentina,Escalante,2021,139.18
Medium,Angola,"Sangos, Nemba, Cabinda, Dalia, Girassol, Hungo, Olombendo, Pazflor, Mostarda",2021,748.9
Medium,Abu Dhabi,"Murban, Umm Lulu",2021,1288
High,Vietnam,"Bach Ho, Su Tu Den",2021,96.01
High,United States,"West Texas Intermediate (Midland), West Texas Intermediate, West Texas Sour",2021,4702
High,Nigeria,"Agbami, Forcados, Erha, Usan",2021,407.55
High,Mexico,Maya,2021,1002
High,Malaysia,Tapis,2021,83.33
High,Libya,"El-Sharara, Es Sider, Amna",2021,696
High,Iraq,"Kirkuk, Basrah Light, Basrah Heavy",2021,2598
High,Iran,Nowruz-Soroush,2021,25
High,Egypt,Suez Blend,2021,55.4
High,Ecuador,Oriente,2021,299.76
High,Colombia,Vasconia,2021,110.03
High,China,"Changqing, Nanhai Light, Panyu",2021,573.48
High,Chad,Doba,2021,122.33
High,Brazil,Marlim,2021,197.36
High,Australia,"Vincent, Pyrenees",2021,44.68
High,Angola,"Kissanje Blend, Plutonio",2021,108.15
High,Algeria,"Algerian Condensate, Saharan Blend",2021,859.14
Very High,Venezuela,"Merey-16, Boscan, Hamaca, Santa Barbara",2021,429
Very High,Nigeria,"Brass River, Qua Iboe, Escravos",2021,336.49
Very High,Malaysia,"Miri, Kimanis",2021,166.82
Very High,Libya,"Brega, Mellitah, Abu Attifel, Zueitina, Sarir, Sirtica",2021,409.9
Very High,Iran,"Iran Heavy, Iran Light",2021,2053
Very High,Indonesia,"Minas, Duri",2021,160
Very High,Gabon,"Rabi Light, Oguendjo Blend",2021,82.94
Very High,Colombia,Castilla,2021,355.06
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2021,911.93
Very High,Australia,Northwest Shelf Condensate,2021,59.4
Very Low,United Kingdom,"Schiehallion Blend, Clair",2022,123
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2022,7420.97
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Heidrun, Statfjord Blend, Gudrun Blend, Johan Sverdrup",2022,1029.24
Very Low,Kuwait,Kuwait,2022,2353.28
Very Low,Iran,South Pars Condensate,2022,700
Very Low,Egypt,Western Desert Blend,2022,238
Very Low,China,Shengli,2022,454.79
Very Low,Brazil,Buzios,2022,563.87
Very Low,Australia,Wheatstone Condensate,2022,33
Very Low,Abu Dhabi,Upper Zakum,2022,900
Low,United States,"Bakken, Mars Blend",2022,1293
Low,United Kingdom,Flotta Gold,2022,41
Low,Saudi Arabia,Arab Heavy,2022,1945.2
Low,Norway,Skarv,2022,25
Low,Nigeria,"Akpo Blend, Bonga, Bonny Light, Egina",2022,348.17
Low,Mexico,Isthmus,2022,503
Low,Kuwait,Kuwait Export Heavy,2022,74.44
Low,Kazakhstan,Tengiz,2022,633.29
Low,Egypt,Belayim Blend,2022,64.44
Low,Dubai,Dubai,2022,21
Low,China,"Daqing, Peng Lai",2022,663.69
Low,Canada,Hebron,2022,137.82
Low,Brazil,"Sepia, Mero, Sururu, Atapu, Sapinhoa",2022,711.08
Low,Australia,Ichthys Condensate,2022,51.3
Medium,United States,"Eagle Ford, Thunder Horse, Alaska North Slope",2022,1589
Medium,United Kingdom,Forties Blend,2022,238
Medium,Turkmenistan,Cheleken,2022,79
Medium,Syria,"Souedieh, Syrian Light",2022,160
Medium,Saudi Arabia,Arab Extra Light,2022,1133.71
Medium,Russia,"Urals, Sokol, Sakhalin Blend, Siberian Light",2022,8182.83
Medium,Qatar,"Dukhan, Qatar Marine",2022,311.08
Medium,Norway,"Asgard Blend, Troll, Oseberg",2022,290.09
Medium,Nigeria,Amenam Blend,2022,75.75
Medium,Neutral Zone,Wafra,2022,55
Medium,Libya,Bouri,2022,28
Medium,Kuwait,Kuwait Super Light,2022,155.2
Medium,Iraq,Basrah Medium,2022,2541
Medium,Iran,Foroozan Blend,2022,40
Medium,Guyana,Liza,2022,128
Medium,Ghana,"Jubilee, Sankofa",2022,114.52
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2022,54.23
Medium,Ecuador,Napo,2022,150.69
Medium,Denmark,Danish Crude Blend,2022,55.92
Medium,Congo (Brazzaville),Djeno,2022,189.3
Medium,Canada,Hibernia,2022,74.9
Medium,Brazil,"Jubarte, Tupi, Frade, Roncador",2022,1137.15
Medium,Azerbaijan,Azeri Light,2022,19.2
Medium,Australia,Gippsland,2022,21
Medium,Argentina,Escalante,2022,139.07
Medium,Angola,"Nemba, Girassol, Hungo, Sangos, Olombendo, Mostarda, Cabinda, Dalia, Pazflor",2022,715.76
Medium,Abu Dhabi,"Murban, Umm Lulu",2022,1441
High,Vietnam,"Bach Ho, Su Tu Den",2022,94.18
High,United States,"West Texas Intermediate (Midland), West Texas Intermediate, West Texas Sour",2022,5184
High,Nigeria,"Forcados, Usan, Agbami, Erha",2022,353.57
High,Mexico,Maya,2022,934
High,Malaysia,Tapis,2022,70.4
High,Libya,"Amna, El-Sharara, Es Sider",2022,592
High,Iraq,"Kirkuk, Basrah Light, Basrah Heavy, Kurdish crude",2022,1816
High,Iran,Nowruz-Soroush,2022,25
High,Egypt,Suez Blend,2022,56.8
High,Ecuador,Oriente,2022,319.04
High,Colombia,Vasconia,2022,212
High,China,"Nanhai Light, Panyu, Changqing",2022,579.31
High,Chad,Doba,2022,122
High,Brazil,Marlim,2022,169.8
High,Australia,"Vincent, Pyrenees",2022,45
High,Angola,"Kissanje Blend, Plutonio",2022,127.7
High,Algeria,"Algerian Condensate, Saharan Blend",2022,936.75
Very High,Venezuela,"Merey-16, Santa Barbara, Boscan, Hamaca",2022,409
Very High,Nigeria,"Escravos, Brass River, Qua Iboe",2022,306.93
Very High,Malaysia,"Kimanis, Miri",2022,131.82
Very High,Libya,"Brega, Abu Attifel, Mellitah, Sarir, Sirtica, Zueitina",2022,384.4
Very High,Iran,"Iran Heavy, Iran Light",2022,2053
Very High,Indonesia,"Duri, Minas",2022,157.95
Very High,Gabon,"Rabi Light, Oguendjo Blend",2022,79.21
Very High,Colombia,Castilla,2022,341
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2022,937.73
Very High,Australia,Northwest Shelf Condensate,2022,61
Very Low,United Kingdom,"Schiehallion Blend, Clair",2023,113.48
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2023,6525.53
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Statfjord Blend, Johan Sverdrup, Heidrun, Gudrun Blend",2023,1207.41
Very Low,Kuwait,Kuwait,2023,2206.4
Very Low,Iran,South Pars Condensate,2023,700
Very Low,Egypt,Western Desert Blend,2023,228.4
Very Low,China,Shengli,2023,457.1
Very Low,Brazil,Buzios,2023,625.6
Very Low,Australia,Wheatstone Condensate,2023,31.5
Very Low,Abu Dhabi,Upper Zakum,2023,920
Low,United States,"Mars Blend, Bakken",2023,1405.5
Low,United Kingdom,Flotta Gold,2023,30.01
Low,Saudi Arabia,Arab Heavy,2023,1821.08
Low,Norway,Skarv,2023,20.75
Low,Nigeria,"Egina, Akpo Blend, Bonga, Bonny Light",2023,389
Low,Mexico,Isthmus,2023,453
Low,Kuwait,Kuwait Export Heavy,2023,81.54
Low,Kazakhstan,Tengiz,2023,627.03
Low,Egypt,Belayim Blend,2023,64
Low,Dubai,Dubai,2023,21
Low,China,"Peng Lai, Daqing",2023,675.81
Low,Canada,Hebron,2023,117.63
Low,Brazil,"Sapinhoa, Mero, Sururu, Atapu, Sepia",2023,834.09
Low,Australia,Ichthys Condensate,2023,50.9
Low,Argentina,Medanito,2023,382.87
Medium,United States,"Alaska North Slope, Eagle Ford, Thunder Horse",2023,1625
Medium,United Kingdom,Forties Blend,2023,191.78
Medium,Turkmenistan,Cheleken,2023,77
Medium,Syria,"Syrian Light, Souedieh",2023,120
Medium,Saudi Arabia,Arab Extra Light,2023,1213.77
Medium,Russia,"Urals, Siberian Light, Sokol, Sakhalin Blend",2023,8158.34
Medium,Qatar,"Qatar Marine, Dukhan",2023,312.7
Medium,Norway,"Oseberg, Troll, Asgard Blend",2023,247.17
Medium,Nigeria,Amenam Blend,2023,109.55
Medium,Neutral Zone,Wafra,2023,61
Medium,Libya,Bouri,2023,24.2
Medium,Kuwait,Kuwait Super Light,2023,163.45
Medium,Iraq,Basrah Medium,2023,2618
Medium,Iran,Foroozan Blend,2023,56
Medium,Guyana,Liza,2023,142
Medium,Ghana,"Sankofa, Jubilee",2023,112.29
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2023,27.7
Medium,Ecuador,Napo,2023,154.2
Medium,Denmark,Danish Crude Blend,2023,51.37
Medium,Congo (Brazzaville),Djeno,2023,199.7
Medium,Canada,Hibernia,2023,67.98
Medium,Brazil,"Roncador, Frade, Jubarte, Tupi",2023,1193.06
Medium,Azerbaijan,Azeri Light,2023,2.74
Medium,Argentina,Escalante,2023,136.38
Medium,Angola,"Girassol, Hungo, Cabinda, Dalia, Sangos, Nemba, Pazflor, Olombendo, Mostarda",2023,696.01
Medium,Abu Dhabi,"Murban, Umm Lulu",2023,1300
High,Vietnam,"Su Tu Den, Bach Ho",2023,90.73
High,United States,"West Texas Intermediate, West Texas Sour, West Texas Intermediate (Midland)",2023,5942
High,Nigeria,"Forcados, Agbami, Erha, Usan",2023,422.98
High,Mexico,Maya,2023,970
High,Malaysia,Tapis,2023,73.6
High,Libya,"El-Sharara, Es Sider, Amna",2023,678.6
High,Iraq,"Kurdish crude, Basrah Heavy, Kirkuk",2023,1599
High,Iran,Nowruz-Soroush,2023,25
High,Egypt,Suez Blend,2023,72.8
High,Ecuador,Oriente,2023,295.1
High,Colombia,Vasconia,2023,211
High,China,"Changqing, Panyu",2023,573.64
High,Chad,Doba,2023,127
High,Brazil,Marlim,2023,164.9
High,Angola,"Plutonio, Kissanje Blend",2023,128.8
High,Algeria,"Algerian Condensate, Saharan Blend",2023,907.25
Very High,Venezuela,"Santa Barbara, Merey-16, Hamaca, Boscan",2023,524
Very High,Nigeria,"Escravos, Brass River, Qua Iboe",2023,286.9
Very High,Malaysia,"Kimanis, Miri",2023,135.22
Very High,Libya,"Brega, Mellitah, Zueitina, Sarir, Sirtica, Abu Attifel",2023,481.2
Very High,Iran,"Iran Heavy, Iran Light",2023,2299.36
Very High,Indonesia,"Duri, Minas",2023,159.27
Very High,Gabon,Rabi Light,2023,79.8
Very High,Colombia,Castilla,2023,417
Very High,Canada,"Cold Lake Blend, Syncrude Sweet Premium",2023,739.68
Very High,Australia,Northwest Shelf Condensate,2023,52
Very Low,United Kingdom,"Clair, Schiehallion Blend",2024,101
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2024,6400.6
Very Low,Norway,"Gudrun Blend, Johan Sverdrup, Heidrun, Gullfaks Blend, Ekofisk Blend, Statfjord Blend",2024,1178.76
Very Low,Kuwait,Kuwait,2024,2013.04
Very Low,Iran,South Pars Condensate,2024,750
Very Low,Egypt,Western Desert Blend,2024,237
Very Low,China,Shengli,2024,473
Very Low,Brazil,Buzios,2024,639.4
Very Low,Australia,Wheatstone Condensate,2024,31.5
Very Low,Abu Dhabi,Upper Zakum,2024,906
Low,United States,"Mars Blend, Bakken",2024,1404
Low,United Kingdom,Flotta Gold,2024,31
Low,Saudi Arabia,Arab Heavy,2024,1476
Low,Norway,Skarv,2024,14
Low,Nigeria,"Akpo Blend, Bonga, Bonny Light, Egina",2024,424
Low,Mexico,Isthmus,2024,369
Low,Kuwait,Kuwait Export Heavy,2024,85.85
Low,Kazakhstan,Tengiz,2024,602.2
Low,Egypt,Belayim Blend,2024,55
Low,Dubai,Dubai,2024,21
Low,China,"Peng Lai, Daqing",2024,678
Low,Canada,Hebron,2024,144.7
Low,Brazil,"Sapinhoa, Sururu, Atapu, Sepia, Mero",2024,878.2
Low,Australia,Ichthys Condensate,2024,48.8
Low,Argentina,Medanito,2024,450
Medium,United States,"Alaska North Slope, Eagle Ford, Thunder Horse",2024,1642
Medium,United Kingdom,Forties Blend,2024,158
Medium,Turkmenistan,Cheleken,2024,75
Medium,Syria,"Souedieh, Syrian Light",2024,108
Medium,Saudi Arabia,Arab Extra Light,2024,1055
Medium,Russia,"Sakhalin Blend, Urals, Siberian Light, Sokol",2024,7769.6
Medium,Qatar,"Qatar Marine, Dukhan",2024,312.7
Medium,Norway,"Troll, Oseberg, Asgard Blend",2024,226
Medium,Nigeria,Amenam Blend,2024,89
Medium,Neutral Zone,Wafra,2024,65
Medium,Kuwait,Kuwait Super Light,2024,167.6
Medium,Iraq,Basrah Medium,2024,2488
Medium,Iran,Foroozan Blend,2024,61
Medium,Guyana,Liza,2024,149
Medium,Ghana,"Jubilee, Sankofa",2024,115.9
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2024,30.8
Medium,Ecuador,Napo,2024,165.47
Medium,Denmark,Danish Crude Blend,2024,56.48
Medium,Congo (Brazzaville),Djeno,2024,208
Medium,Canada,Hibernia,2024,70.4
Medium,Brazil,"Roncador, Jubarte, Tupi, Frade",2024,1097.2
Medium,Argentina,Escalante,2024,128
Medium,Angola,"Sangos, Olombendo, Mostarda, Nemba, Pazflor, Girassol, Hungo, Cabinda, Dalia",2024,717.7
Medium,Abu Dhabi,"Murban, Umm Lulu",2024,1306
High,Vietnam,"Bach Ho, Su Tu Den",2024,79.83
High,United States,"West Texas Intermediate (Midland), West Texas Intermediate, West Texas Sour",2024,6234
High,Nigeria,"Agbami, Erha, Forcados",2024,393
High,Mexico,Maya,2024,922
High,Malaysia,Tapis,2024,65.9
High,Libya,"Amna, El-Sharara, Es Sider",2024,597.4
High,Iraq,"Kirkuk, Basrah Heavy, Kurdish crude",2024,1632
High,Iran,Nowruz-Soroush,2024,50
High,Egypt,Suez Blend,2024,56
High,Ecuador,Oriente,2024,285
High,Colombia,Vasconia,2024,208
High,China,"Changqing, Panyu",2024,578.32
High,Chad,Doba,2024,129.6
High,Brazil,Marlim,2024,117.8
High,Angola,"Kissanje Blend, Plutonio",2024,126.6
High,Algeria,"Algerian Condensate, Saharan Blend",2024,847.75
Very High,Venezuela,"Santa Barbara, Merey-16, Hamaca, Boscan",2024,664
Very High,Nigeria,"Brass River, Escravos, Qua Iboe",2024,260
Very High,Malaysia,"Miri, Kimanis",2024,122.06
Very High,Libya,"Brega, Mellitah, Abu Attifel, Sarir, Sirtica",2024,446.35
Very High,Iran,"Iran Heavy, Iran Light",2024,2644.26
Very High,Indonesia,"Minas, Duri",2024,155.09
Very High,Gabon,Rabi Light,2024,79.08
Very High,Colombia,Castilla,2024,425
Very High,Canada,"Cold Lake Blend, Syncrude Sweet Premium",2024,765.45
Very High,Australia,Northwest Shelf Condensate,2024,48.3
