Country,Sector,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Australia,Other,2021,January,Billion Cubic Meter,0.208159758
Australia,Industrial,2021,January,Billion Cubic Meter,0.971412206
Australia,Household,2021,January,Billion Cubic Meter,0.346932931
Australia,Power,2021,February,Billion Cubic Meter,0.733090842
Australia,Other,2021,February,Billion Cubic Meter,0.188509074
Australia,Industrial,2021,February,Billion Cubic Meter,0.87970901
Australia,Household,2021,February,Billion Cubic Meter,0.314181789
Australia,Power,2021,March,Billion Cubic Meter,0.730996412
Australia,Other,2021,March,Billion Cubic Meter,0.187970506
Australia,Industrial,2021,March,Billion Cubic Meter,0.877195695
Australia,Household,2021,March,Billion Cubic Meter,0.313284177
Australia,Power,2021,April,Billion Cubic Meter,0.784830755
Australia,Other,2021,April,Billion Cubic Meter,0.201813623
Australia,Industrial,2021,April,Billion Cubic Meter,0.941796906
Australia,Household,2021,April,Billion Cubic Meter,0.336356038
Australia,Power,2021,May,Billion Cubic Meter,0.921819555
Australia,Other,2021,May,Billion Cubic Meter,0.237039314
Australia,Industrial,2021,May,Billion Cubic Meter,1.106183466
Australia,Household,2021,May,Billion Cubic Meter,0.395065524
Australia,Power,2021,June,Billion Cubic Meter,0.882109544
Australia,Other,2021,June,Billion Cubic Meter,0.226828169
Australia,Industrial,2021,June,Billion Cubic Meter,1.058531453
Australia,Household,2021,June,Billion Cubic Meter,0.378046948
Australia,Power,2021,July,Billion Cubic Meter,0.89880788
Australia,Other,2021,July,Billion Cubic Meter,0.231122026
Australia,Industrial,2021,July,Billion Cubic Meter,1.078569455
Australia,Household,2021,July,Billion Cubic Meter,0.385203377
Australia,Power,2021,August,Billion Cubic Meter,0.980444903
Australia,Other,2021,August,Billion Cubic Meter,0.252114404
Australia,Industrial,2021,August,Billion Cubic Meter,1.176533884
Australia,Household,2021,August,Billion Cubic Meter,0.420190673
Australia,Power,2021,September,Billion Cubic Meter,0.848761719
Australia,Other,2021,September,Billion Cubic Meter,0.218253013
Australia,Industrial,2021,September,Billion Cubic Meter,1.018514062
Australia,Household,2021,September,Billion Cubic Meter,0.363755022
Australia,Power,2021,October,Billion Cubic Meter,0.828966232
Australia,Other,2021,October,Billion Cubic Meter,0.213162745
Australia,Industrial,2021,October,Billion Cubic Meter,0.994759478
Australia,Household,2021,October,Billion Cubic Meter,0.355271242
Australia,Power,2021,November,Billion Cubic Meter,0.765036743
Australia,Other,2021,November,Billion Cubic Meter,0.196723734
Australia,Industrial,2021,November,Billion Cubic Meter,0.918044092
Australia,Household,2021,November,Billion Cubic Meter,0.32787289
Australia,Power,2021,December,Billion Cubic Meter,0.786800596
Australia,Other,2021,December,Billion Cubic Meter,0.202320153
Australia,Industrial,2021,December,Billion Cubic Meter,0.944160715
Australia,Household,2021,December,Billion Cubic Meter,0.337200255
Australia,Power,2020,January,Billion Cubic Meter,0.733060596
Australia,Other,2020,January,Billion Cubic Meter,0.194045452
Australia,Industrial,2020,January,Billion Cubic Meter,0.905545442
Australia,Household,2020,January,Billion Cubic Meter,0.323409086
Australia,Power,2020,February,Billion Cubic Meter,0.73085388
Australia,Other,2020,February,Billion Cubic Meter,0.193461321
Australia,Industrial,2020,February,Billion Cubic Meter,0.902819499
Australia,Household,2020,February,Billion Cubic Meter,0.322435535
Australia,Power,2020,March,Billion Cubic Meter,0.750093537
Australia,Other,2020,March,Billion Cubic Meter,0.198554171
Australia,Industrial,2020,March,Billion Cubic Meter,0.926586134
Australia,Household,2020,March,Billion Cubic Meter,0.330923619
Australia,Power,2020,April,Billion Cubic Meter,0.744826634
Australia,Other,2020,April,Billion Cubic Meter,0.197159991
Australia,Industrial,2020,April,Billion Cubic Meter,0.92007996
Australia,Household,2020,April,Billion Cubic Meter,0.328599986
Australia,Power,2020,May,Billion Cubic Meter,0.878753373
Australia,Other,2020,May,Billion Cubic Meter,0.232611187
Australia,Industrial,2020,May,Billion Cubic Meter,1.085518872
Australia,Household,2020,May,Billion Cubic Meter,0.387685311
Australia,Power,2020,June,Billion Cubic Meter,0.961310891
Australia,Other,2020,June,Billion Cubic Meter,0.254464648
Australia,Industrial,2020,June,Billion Cubic Meter,1.187501689
Australia,Household,2020,June,Billion Cubic Meter,0.424107746
Australia,Power,2020,July,Billion Cubic Meter,1.012068503
Australia,Other,2020,July,Billion Cubic Meter,0.267900486
Australia,Industrial,2020,July,Billion Cubic Meter,1.250202269
Australia,Household,2020,July,Billion Cubic Meter,0.44650081
Australia,Power,2020,August,Billion Cubic Meter,0.92299169
Australia,Other,2020,August,Billion Cubic Meter,0.24432133
Australia,Industrial,2020,August,Billion Cubic Meter,1.140166205
Australia,Household,2020,August,Billion Cubic Meter,0.407202216
Australia,Power,2020,September,Billion Cubic Meter,0.832910479
Australia,Other,2020,September,Billion Cubic Meter,0.220476303
Australia,Industrial,2020,September,Billion Cubic Meter,1.028889415
Australia,Household,2020,September,Billion Cubic Meter,0.367460505
Australia,Power,2020,October,Billion Cubic Meter,0.779953725
Australia,Other,2020,October,Billion Cubic Meter,0.206458339
Australia,Industrial,2020,October,Billion Cubic Meter,0.963472249
Australia,Household,2020,October,Billion Cubic Meter,0.344097232
Australia,Power,2020,November,Billion Cubic Meter,0.734877246
Australia,Other,2020,November,Billion Cubic Meter,0.19452633
Australia,Industrial,2020,November,Billion Cubic Meter,0.907789539
Australia,Household,2020,November,Billion Cubic Meter,0.32421055
Australia,Power,2020,December,Billion Cubic Meter,0.743934526
Australia,Other,2020,December,Billion Cubic Meter,0.196923845
Australia,Industrial,2020,December,Billion Cubic Meter,0.918977944
Australia,Household,2020,December,Billion Cubic Meter,0.328206408
Australia,Power,2019,January,Billion Cubic Meter,0.828620899
Australia,Other,2019,January,Billion Cubic Meter,0.201556435
Australia,Industrial,2019,January,Billion Cubic Meter,0.873411217
Australia,Household,2019,January,Billion Cubic Meter,0.335927391
Australia,Power,2019,February,Billion Cubic Meter,0.739382352
Australia,Other,2019,February,Billion Cubic Meter,0.179849761
Australia,Industrial,2019,February,Billion Cubic Meter,0.779348966
Australia,Household,2019,February,Billion Cubic Meter,0.299749602
Australia,Power,2019,March,Billion Cubic Meter,0.799455794
Australia,Other,2019,March,Billion Cubic Meter,0.19446222
Australia,Industrial,2019,March,Billion Cubic Meter,0.842669621
Australia,Household,2019,March,Billion Cubic Meter,0.3241037
Australia,Power,2019,April,Billion Cubic Meter,0.830004902
Australia,Other,2019,April,Billion Cubic Meter,0.201893084
Australia,Industrial,2019,April,Billion Cubic Meter,0.874870032
Australia,Household,2019,April,Billion Cubic Meter,0.336488474
Australia,Power,2019,May,Billion Cubic Meter,0.96308625
Australia,Other,2019,May,Billion Cubic Meter,0.234264223
Australia,Industrial,2019,May,Billion Cubic Meter,1.015144967
Australia,Household,2019,May,Billion Cubic Meter,0.390440372
Australia,Power,2019,June,Billion Cubic Meter,1.01129663
Australia,Other,2019,June,Billion Cubic Meter,0.245991072
Australia,Industrial,2019,June,Billion Cubic Meter,1.065961313
Australia,Household,2019,June,Billion Cubic Meter,0.40998512
Australia,Power,2019,July,Billion Cubic Meter,1.018093695
Australia,Other,2019,July,Billion Cubic Meter,0.247644412
Australia,Industrial,2019,July,Billion Cubic Meter,1.073125787
Australia,Household,2019,July,Billion Cubic Meter,0.412740687
Australia,Power,2019,August,Billion Cubic Meter,1.051789498
Australia,Other,2019,August,Billion Cubic Meter,0.255840689
Australia,Industrial,2019,August,Billion Cubic Meter,1.108642984
Australia,Household,2019,August,Billion Cubic Meter,0.426401148
Australia,Power,2019,September,Billion Cubic Meter,0.937497844
Australia,Other,2019,September,Billion Cubic Meter,0.228040016
Australia,Industrial,2019,September,Billion Cubic Meter,0.988173404
Australia,Household,2019,September,Billion Cubic Meter,0.380066694
Australia,Power,2019,October,Billion Cubic Meter,0.915897448
Australia,Other,2019,October,Billion Cubic Meter,0.222785866
Australia,Industrial,2019,October,Billion Cubic Meter,0.965405418
Australia,Household,2019,October,Billion Cubic Meter,0.371309776
Australia,Power,2019,November,Billion Cubic Meter,0.856459621
Australia,Other,2019,November,Billion Cubic Meter,0.208328016
Australia,Industrial,2019,November,Billion Cubic Meter,0.902754736
Australia,Household,2019,November,Billion Cubic Meter,0.34721336
Australia,Power,2019,December,Billion Cubic Meter,0.869068931
Australia,Other,2019,December,Billion Cubic Meter,0.211395145
Australia,Industrial,2019,December,Billion Cubic Meter,0.91604563
Australia,Household,2019,December,Billion Cubic Meter,0.352325242
Bangladesh,Power,2024,January,Billion Cubic Meter,0.947795243
Bangladesh,Other,2024,January,Billion Cubic Meter,0.31327268
Bangladesh,Industrial,2024,January,Billion Cubic Meter,0.492604657
Bangladesh,Household,2024,January,Billion Cubic Meter,0.216746049
Bangladesh,Power,2024,February,Billion Cubic Meter,1.055993218
Bangladesh,Other,2024,February,Billion Cubic Meter,0.302743665
Bangladesh,Industrial,2024,February,Billion Cubic Meter,0.530756595
Bangladesh,Household,2024,February,Billion Cubic Meter,0.233532902
Bangladesh,Power,2024,March,Billion Cubic Meter,1.205338261
Bangladesh,Other,2024,March,Billion Cubic Meter,0.245579646
Bangladesh,Industrial,2024,March,Billion Cubic Meter,0.566764807
Bangladesh,Household,2024,March,Billion Cubic Meter,0.249376515
Bangladesh,Power,2024,April,Billion Cubic Meter,1.435872382
Bangladesh,Other,2024,April,Billion Cubic Meter,0.010244034
Bangladesh,Industrial,2024,April,Billion Cubic Meter,0.564889225
Bangladesh,Household,2024,April,Billion Cubic Meter,0.248551259
Bangladesh,Power,2024,May,Billion Cubic Meter,1.467478728
Bangladesh,Other,2024,May,Billion Cubic Meter,0.147303877
Bangladesh,Industrial,2024,May,Billion Cubic Meter,0.630774455
Bangladesh,Household,2024,May,Billion Cubic Meter,0.27754076
Bangladesh,Power,2024,June,Billion Cubic Meter,1.244757501
Bangladesh,Other,2024,June,Billion Cubic Meter,0.121879836
Bangladesh,Industrial,2024,June,Billion Cubic Meter,0.53384271
Bangladesh,Household,2024,June,Billion Cubic Meter,0.234890792
Bangladesh,Power,2024,July,Billion Cubic Meter,1.131661928
Bangladesh,Other,2024,July,Billion Cubic Meter,0.177388305
Bangladesh,Industrial,2024,July,Billion Cubic Meter,0.511347748
Bangladesh,Household,2024,July,Billion Cubic Meter,0.224993009
Bangladesh,Power,2024,August,Billion Cubic Meter,1.206521371
Bangladesh,Other,2024,August,Billion Cubic Meter,0.212278526
Bangladesh,Industrial,2024,August,Billion Cubic Meter,0.55421871
Bangladesh,Household,2024,August,Billion Cubic Meter,0.243856232
Bangladesh,Power,2024,September,Billion Cubic Meter,1.129402569
Bangladesh,Other,2024,September,Billion Cubic Meter,0.239594762
Bangladesh,Industrial,2024,September,Billion Cubic Meter,0.534764583
Bangladesh,Household,2024,September,Billion Cubic Meter,0.235296416
Bangladesh,Power,2024,October,Billion Cubic Meter,1.225224162
Bangladesh,Other,2024,October,Billion Cubic Meter,0.295785374
Bangladesh,Industrial,2024,October,Billion Cubic Meter,0.59414435
Bangladesh,Household,2024,October,Billion Cubic Meter,0.261423514
Bangladesh,Power,2024,November,Billion Cubic Meter,1.176543408
Bangladesh,Other,2024,November,Billion Cubic Meter,0.324314717
Bangladesh,Industrial,2024,November,Billion Cubic Meter,0.586272705
Bangladesh,Household,2024,November,Billion Cubic Meter,0.25795999
Bangladesh,Power,2024,December,Billion Cubic Meter,1.128792365
Bangladesh,Other,2024,December,Billion Cubic Meter,0.384903546
Bangladesh,Industrial,2024,December,Billion Cubic Meter,0.591287465
Bangladesh,Household,2024,December,Billion Cubic Meter,0.260166485
Bangladesh,Power,2023,January,Billion Cubic Meter,1.140569523
Bangladesh,Other,2023,January,Billion Cubic Meter,0.282662381
Bangladesh,Industrial,2023,January,Billion Cubic Meter,0.555949962
Bangladesh,Household,2023,January,Billion Cubic Meter,0.244617983
Bangladesh,Power,2023,February,Billion Cubic Meter,0.992243054
Bangladesh,Other,2023,February,Billion Cubic Meter,0.201055199
Bangladesh,Industrial,2023,February,Billion Cubic Meter,0.46613213
Bangladesh,Household,2023,February,Billion Cubic Meter,0.205098137
Bangladesh,Power,2023,March,Billion Cubic Meter,1.354599027
Bangladesh,Other,2023,March,Billion Cubic Meter,0.196793389
Bangladesh,Industrial,2023,March,Billion Cubic Meter,0.606012662
Bangladesh,Household,2023,March,Billion Cubic Meter,0.266645571
Bangladesh,Power,2023,April,Billion Cubic Meter,1.330548668
Bangladesh,Other,2023,April,Billion Cubic Meter,0.121043005
Bangladesh,Industrial,2023,April,Billion Cubic Meter,0.567027997
Bangladesh,Household,2023,April,Billion Cubic Meter,0.249492319
Bangladesh,Power,2023,May,Billion Cubic Meter,1.354244994
Bangladesh,Other,2023,May,Billion Cubic Meter,0.165822718
Bangladesh,Industrial,2023,May,Billion Cubic Meter,0.59377645
Bangladesh,Household,2023,May,Billion Cubic Meter,0.261261638
Bangladesh,Power,2023,June,Billion Cubic Meter,1.460869715
Bangladesh,Other,2023,June,Billion Cubic Meter,0.097379904
Bangladesh,Industrial,2023,June,Billion Cubic Meter,0.608691258
Bangladesh,Household,2023,June,Billion Cubic Meter,0.267824153
Bangladesh,Power,2023,July,Billion Cubic Meter,1.483141589
Bangladesh,Other,2023,July,Billion Cubic Meter,0.060607563
Bangladesh,Industrial,2023,July,Billion Cubic Meter,0.603027012
Bangladesh,Household,2023,July,Billion Cubic Meter,0.265331885
Bangladesh,Power,2023,August,Billion Cubic Meter,1.37613544
Bangladesh,Other,2023,August,Billion Cubic Meter,0.126586409
Bangladesh,Industrial,2023,August,Billion Cubic Meter,0.587000723
Bangladesh,Household,2023,August,Billion Cubic Meter,0.258280318
Bangladesh,Power,2023,September,Billion Cubic Meter,1.333516999
Bangladesh,Other,2023,September,Billion Cubic Meter,0.154780454
Bangladesh,Industrial,2023,September,Billion Cubic Meter,0.581366193
Bangladesh,Household,2023,September,Billion Cubic Meter,0.255801125
Bangladesh,Power,2023,October,Billion Cubic Meter,1.220894488
Bangladesh,Other,2023,October,Billion Cubic Meter,0.172617435
Bangladesh,Industrial,2023,October,Billion Cubic Meter,0.544340595
Bangladesh,Household,2023,October,Billion Cubic Meter,0.239509862
Bangladesh,Power,2023,November,Billion Cubic Meter,1.091475419
Bangladesh,Other,2023,November,Billion Cubic Meter,0.262219084
Bangladesh,Industrial,2023,November,Billion Cubic Meter,0.528786915
Bangladesh,Household,2023,November,Billion Cubic Meter,0.232666243
Bangladesh,Power,2023,December,Billion Cubic Meter,1.053172784
Bangladesh,Other,2023,December,Billion Cubic Meter,0.332625239
Bangladesh,Industrial,2023,December,Billion Cubic Meter,0.541327352
Bangladesh,Household,2023,December,Billion Cubic Meter,0.238184035
Bangladesh,Power,2022,January,Billion Cubic Meter,1.013005518
Bangladesh,Other,2022,January,Billion Cubic Meter,0.343802097
Bangladesh,Industrial,2022,January,Billion Cubic Meter,0.547099845
Bangladesh,Household,2022,January,Billion Cubic Meter,0.284491919
Bangladesh,Power,2022,February,Billion Cubic Meter,0.945193681
Bangladesh,Other,2022,February,Billion Cubic Meter,0.325250768
Bangladesh,Industrial,2022,February,Billion Cubic Meter,0.512275987
Bangladesh,Household,2022,February,Billion Cubic Meter,0.266383513
Bangladesh,Power,2022,March,Billion Cubic Meter,1.281097927
Bangladesh,Other,2022,March,Billion Cubic Meter,0.276672799
Bangladesh,Industrial,2022,March,Billion Cubic Meter,0.628133357
Bangladesh,Household,2022,March,Billion Cubic Meter,0.326629346
Bangladesh,Power,2022,April,Billion Cubic Meter,1.266503334
Bangladesh,Other,2022,April,Billion Cubic Meter,0.191702615
Bangladesh,Industrial,2022,April,Billion Cubic Meter,0.58798627
Bangladesh,Household,2022,April,Billion Cubic Meter,0.30575286
Bangladesh,Power,2022,May,Billion Cubic Meter,1.326920552
Bangladesh,Other,2022,May,Billion Cubic Meter,0.172058793
Bangladesh,Industrial,2022,May,Billion Cubic Meter,0.604427155
Bangladesh,Household,2022,May,Billion Cubic Meter,0.314302121
Bangladesh,Power,2022,June,Billion Cubic Meter,1.349972939
Bangladesh,Other,2022,June,Billion Cubic Meter,0.209722584
Bangladesh,Industrial,2022,June,Billion Cubic Meter,0.628909485
Bangladesh,Household,2022,June,Billion Cubic Meter,0.327032932
Bangladesh,Power,2022,July,Billion Cubic Meter,1.280936731
Bangladesh,Other,2022,July,Billion Cubic Meter,0.095194295
Bangladesh,Industrial,2022,July,Billion Cubic Meter,0.554891542
Bangladesh,Household,2022,July,Billion Cubic Meter,0.288543602
Bangladesh,Power,2022,August,Billion Cubic Meter,1.336515893
Bangladesh,Other,2022,August,Billion Cubic Meter,0.161377354
Bangladesh,Industrial,2022,August,Billion Cubic Meter,0.603989213
Bangladesh,Household,2022,August,Billion Cubic Meter,0.31407439
Bangladesh,Power,2022,September,Billion Cubic Meter,1.267738969
Bangladesh,Other,2022,September,Billion Cubic Meter,0.126088952
Bangladesh,Industrial,2022,September,Billion Cubic Meter,0.562027388
Bangladesh,Household,2022,September,Billion Cubic Meter,0.292254242
Bangladesh,Power,2022,October,Billion Cubic Meter,1.192276849
Bangladesh,Other,2022,October,Billion Cubic Meter,0.168710224
Bangladesh,Industrial,2022,October,Billion Cubic Meter,0.54878511
Bangladesh,Household,2022,October,Billion Cubic Meter,0.285368257
Bangladesh,Power,2022,November,Billion Cubic Meter,1.073667814
Bangladesh,Other,2022,November,Billion Cubic Meter,0.205600519
Bangladesh,Industrial,2022,November,Billion Cubic Meter,0.515834005
Bangladesh,Household,2022,November,Billion Cubic Meter,0.268233683
Bangladesh,Power,2022,December,Billion Cubic Meter,1.13700876
Bangladesh,Other,2022,December,Billion Cubic Meter,0.248012823
Bangladesh,Industrial,2022,December,Billion Cubic Meter,0.558476445
Bangladesh,Household,2022,December,Billion Cubic Meter,0.290407751
Bangladesh,Power,2021,January,Billion Cubic Meter,1.175869537
Bangladesh,Other,2021,January,Billion Cubic Meter,0.351232958
Bangladesh,Industrial,2021,January,Billion Cubic Meter,0.615767135
Bangladesh,Household,2021,January,Billion Cubic Meter,0.32019891
Bangladesh,Power,2021,February,Billion Cubic Meter,0.8698789
Bangladesh,Other,2021,February,Billion Cubic Meter,0.279537172
Bangladesh,Industrial,2021,February,Billion Cubic Meter,0.463474223
Bangladesh,Household,2021,February,Billion Cubic Meter,0.241006596
Bangladesh,Power,2021,March,Billion Cubic Meter,1.477679245
Bangladesh,Other,2021,March,Billion Cubic Meter,0.168478123
Bangladesh,Industrial,2021,March,Billion Cubic Meter,0.663773132
Bangladesh,Household,2021,March,Billion Cubic Meter,0.345162029
Bangladesh,Power,2021,April,Billion Cubic Meter,1.502244777
Bangladesh,Other,2021,April,Billion Cubic Meter,0.119400829
Bangladesh,Industrial,2021,April,Billion Cubic Meter,0.653889357
Bangladesh,Household,2021,April,Billion Cubic Meter,0.340022466
Bangladesh,Power,2021,May,Billion Cubic Meter,1.5412934
Bangladesh,Other,2021,May,Billion Cubic Meter,0.057445903
Bangladesh,Industrial,2021,May,Billion Cubic Meter,0.644652945
Bangladesh,Household,2021,May,Billion Cubic Meter,0.335219531
Bangladesh,Power,2021,June,Billion Cubic Meter,1.526532969
