Country,Sector,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Australia,Industrial,2021,October,Gigawatt-hour,10444.974519
Australia,Household,2021,October,Gigawatt-hour,3730.348041
Australia,Power,2021,November,Gigawatt-hour,8032.885801
Australia,Other,2021,November,Gigawatt-hour,2065.599207
Australia,Industrial,2021,November,Gigawatt-hour,9639.462966
Australia,Household,2021,November,Gigawatt-hour,3442.665345
Australia,Power,2021,December,Gigawatt-hour,8261.406258
Australia,Other,2021,December,Gigawatt-hour,2124.361607
Australia,Industrial,2021,December,Gigawatt-hour,9913.687507
Australia,Household,2021,December,Gigawatt-hour,3540.602678
Australia,Power,2020,January,Gigawatt-hour,7697.136258
Australia,Other,2020,January,Gigawatt-hour,2037.477246
Australia,Industrial,2020,January,Gigawatt-hour,9508.227141
Australia,Household,2020,January,Gigawatt-hour,3395.795403
Australia,Power,2020,February,Gigawatt-hour,7673.96574
Australia,Other,2020,February,Gigawatt-hour,2031.34387
Australia,Industrial,2020,February,Gigawatt-hour,9479.604739
Australia,Household,2020,February,Gigawatt-hour,3385.573118
Australia,Power,2020,March,Gigawatt-hour,7875.982138
Australia,Other,2020,March,Gigawatt-hour,2084.818795
Australia,Industrial,2020,March,Gigawatt-hour,9729.154407
Australia,Household,2020,March,Gigawatt-hour,3474.697999
Australia,Power,2020,April,Gigawatt-hour,7820.679657
Australia,Other,2020,April,Gigawatt-hour,2070.179906
Australia,Industrial,2020,April,Gigawatt-hour,9660.83958
Australia,Household,2020,April,Gigawatt-hour,3450.299853
Australia,Power,2020,May,Gigawatt-hour,9226.910417
Australia,Other,2020,May,Gigawatt-hour,2442.417463
Australia,Industrial,2020,May,Gigawatt-hour,11397.948156
Australia,Household,2020,May,Gigawatt-hour,4070.695766
Australia,Power,2020,June,Gigawatt-hour,10093.764355
Australia,Other,2020,June,Gigawatt-hour,2671.878804
Australia,Industrial,2020,June,Gigawatt-hour,12468.767734
Australia,Household,2020,June,Gigawatt-hour,4453.131333
Australia,Power,2020,July,Gigawatt-hour,10626.719281
Australia,Other,2020,July,Gigawatt-hour,2812.955103
Australia,Industrial,2020,July,Gigawatt-hour,13127.123824
Australia,Household,2020,July,Gigawatt-hour,4688.258505
Australia,Power,2020,August,Gigawatt-hour,9691.412745
Australia,Other,2020,August,Gigawatt-hour,2565.373965
Australia,Industrial,2020,August,Gigawatt-hour,11971.745152
Australia,Household,2020,August,Gigawatt-hour,4275.623268
Australia,Power,2020,September,Gigawatt-hour,8745.56003
Australia,Other,2020,September,Gigawatt-hour,2315.001181
Australia,Industrial,2020,September,Gigawatt-hour,10803.338858
Australia,Household,2020,September,Gigawatt-hour,3858.335303
Australia,Power,2020,October,Gigawatt-hour,8189.514113
Australia,Other,2020,October,Gigawatt-hour,2167.81256
Australia,Industrial,2020,October,Gigawatt-hour,10116.458615
Australia,Household,2020,October,Gigawatt-hour,3613.020936
Australia,Power,2020,November,Gigawatt-hour,7716.211083
Australia,Other,2020,November,Gigawatt-hour,2042.526465
Australia,Industrial,2020,November,Gigawatt-hour,9531.79016
Australia,Household,2020,November,Gigawatt-hour,3404.210775
Australia,Power,2020,December,Gigawatt-hour,7811.312523
Australia,Other,2020,December,Gigawatt-hour,2067.700372
Australia,Industrial,2020,December,Gigawatt-hour,9649.268412
Australia,Household,2020,December,Gigawatt-hour,3446.167284
Australia,Power,2019,January,Gigawatt-hour,8700.519439
Australia,Other,2019,January,Gigawatt-hour,2116.342567
Australia,Industrial,2019,January,Gigawatt-hour,9170.817778
Australia,Household,2019,January,Gigawatt-hour,3527.237605
Australia,Power,2019,February,Gigawatt-hour,7763.514696
Australia,Other,2019,February,Gigawatt-hour,1888.422491
